obs_id,baseline,perframe,global,minn_p2_98,minn_wide_lin,minn_wide_cubic,minn_wide_LOG,d_LOG
ESP_053989_2260,0.8727558901797884,0.8276096092685143,0.7750961413643149,0.27417488803790485,0.18677143506198482,0.15029775426754075,0.16687138962809114,-0.7058845005516973
ESP_064510_2260,0.7659130230785021,0.5770710536347908,0.7321784307400565,0.6537616198938447,0.7076317410046625,0.5948999540580433,0.521476154169477,-0.24443686890902505
ESP_054397_2105,0.7107516121859019,0.42433474167963825,0.5870191238603515,0.5757078793269587,0.6114687569490771,0.503819212808539,0.4971555110814617,-0.21359610110444016
ESP_054622_2240,0.8043407733221033,0.6435262739226054,0.6227598147021665,0.5845553943817946,0.6376413519878963,0.6267044125216414,0.6348930794066725,-0.1694476939154308
ESP_069669_2220,0.6900429887869978,0.46074046221364195,0.5845998002087707,0.5973084305164267,0.6103341452190407,0.6782968358905862,0.5534890507671759,-0.13655393801982185
ESP_068402_2240,0.7860376580320744,0.7686317898933499,0.7449889754286892,0.7525012822343131,0.7658455079498527,0.7652527720055201,0.6744010511677585,-0.11163660686431587
ESP_047976_2020,0.8851874615857407,0.7045482483097726,0.7112476951444376,0.7593116164720344,0.721880762138906,0.7408727719729564,0.7858020897357099,-0.09938537185003082
ESP_048688_2085,0.7502621722846442,0.620609951845907,0.6590476190476191,0.6148956661316212,0.6286142322097378,0.647597645799893,0.6607383627608348,-0.08952380952380945
ESP_045983_2270,0.5712610197453215,0.43245948686222957,0.47386336947867086,0.44157601690983134,0.4585388347568066,0.45436722746358255,0.4915679973420861,-0.07969302240323539
ESP_055690_2200,0.7885215374454972,0.7481584253463738,0.7163738541069962,0.7552339259656333,0.737516269797475,0.7392698167447092,0.7098501689606423,-0.0786713684848549
ESP_055055_2255,0.8839945280437755,0.8528877915318142,0.7826587923881975,0.8166494277801875,0.8599523984295929,0.7760223771868362,0.8248707083514064,-0.05912381969236913
ESP_055017_2055,0.7552616033755274,0.6669324894514768,0.6246708860759493,0.6857046413502109,0.7199324894514768,0.663476793248945,0.7157088607594936,-0.03955274261603381
ESP_076565_2215,0.6889785332232472,0.7236556341314571,0.6540082684184705,0.6719331466657095,0.6985856337724811,0.7127248088451735,0.6711134843426547,-0.017865048880592482
ESP_049242_2115,0.7393826783716018,0.6381732880934001,0.6905088894075124,0.7242398673919417,0.7065149094303718,0.7178383570005207,0.7262864357993885,-0.013096242572213312
ESP_046328_2180,0.7518130426854073,0.35513613600976307,0.5047700206202921,0.6273611637138969,0.6525045939766303,0.6635196173322673,0.7404347094222111,-0.01137833326319615
ESP_076723_2265,0.8669215023916719,0.8514738403793083,0.8523387174903736,0.8450262792467785,0.8549048045295746,0.8471971452906564,0.8568426171608294,-0.010078885230842438
ESP_017355_2260,0.8057105659494141,0.7239622112432321,0.6664827765914965,0.7552768784089096,0.7897749886507093,0.7095871378662278,0.7996470342310439,-0.006063531718370263
ESP_045878_2235,0.8723482515759888,0.805846555218399,0.8705432823119732,0.8789483702650349,0.8811385190742255,0.8984374475136885,0.8710275560133918,-0.0013206955625970629
ESP_045390_2215,0.8318098282444273,0.8207495804706074,0.8121977272763561,0.8431031922554315,0.8462853885616568,0.8354375000997929,0.8318433586621043,3.353041767706344e-05
ESP_045139_2270,0.908238529919019,0.9100550946414977,0.9040900504041209,0.905093427123504,0.9053839282122667,0.9080700987412758,0.9130618726207436,0.004823342701724576
ESP_071699_2260,0.8160681697029128,0.7660908109261648,0.8144835045350789,0.7916923686070511,0.8042144862382369,0.8038771827175376,0.8239540173731155,0.007885847670202617
ESP_042964_2160,0.87963904556776,0.9278070081248434,0.8696066851523171,0.8967898552097743,0.8671222811040017,0.9073801538225081,0.8932737918532602,0.01363474628550021
ESP_051943_2270,0.8988090469705466,0.934097038639216,0.9091965072498599,0.9135784667147322,0.9062351464658602,0.9062404870624048,0.9215813506368661,0.022772303666319438
ESP_054000_2255,0.6699737142290334,0.650031741308337,0.726861578138174,0.7512369191092595,0.7614090165153995,0.7756935971829588,0.6936497545008182,0.023676040271784826
ESP_045550_2180,0.783886175024977,0.3860741127505861,0.7992494339376353,0.8085077541758081,0.7969821721733281,0.8200850474187054,0.8126567026302446,0.02877052760526755
ESP_063429_2240,0.7172513029767726,0.6186557440471845,0.7613143641327358,0.750301108077726,0.7634275953691403,0.7633071521380498,0.7473757974801818,0.03012449450340915
ESP_054134_2265,0.7859680257250333,0.8045225094041986,0.7496062371071471,0.7332538526877805,0.7560951340856692,0.7547324353840554,0.8193326052663511,0.033364579541317774
ESP_052576_2250,0.8251559021414251,0.8779988583804035,0.8803759418020004,0.8932346511158582,0.9103259173615014,0.9019171783682675,0.8946240923645875,0.06946819022316242
ESP_055253_2245,0.46539278725188704,0.34386916410399776,0.5791277606933184,0.6306933184232597,0.666692759295499,0.6666731898238747,0.5405619233994968,0.07516913614760978
ESP_059686_2235,0.671376764006246,0.4473582143671019,0.6519197933540564,0.5680880310822083,0.7398055004552093,0.7637592767841005,0.7513190405467451,0.07994227654049912
ESP_076499_1160,0.8487743164942957,0.9020198638855593,0.8811894083537193,0.8985475643030818,0.9199603568919447,0.9011125209244019,0.9355916462806922,0.08681732978639656
ESP_046959_2225,0.8425997025986057,0.9048675101165229,0.9421179489054653,0.9418866705670128,0.95320529228219,0.9449911023353321,0.9449819608990299,0.10238225830042413
ESP_069763_2235,0.713251033691416,0.44612439907412904,0.6743654420638218,0.6953004134765663,0.7590915385680652,0.7427691059805726,0.8316636002136625,0.11841256652224652
ESP_059421_2170,0.7163381991393456,0.7611723939241763,0.7836589540282111,0.7905277913476791,0.7836953934834866,0.7853146717773001,0.8396925876454303,0.12335438850608471
ESP_055978_2270,0.7957031860065594,0.9508980165547399,0.9014602530064032,0.9256754646259566,0.9271689052006872,0.910415039825082,0.9455450570045292,0.14984187099796975
ESP_068483_2280,0.6108332475023175,0.7590654718989254,0.773237431478239,0.7459399640654147,0.8001853949943352,0.7233513006259942,0.845793479131619,0.23496023162930146
