label,k,partition,median,pred_overlap
center,0,0.1281,0.0809,0.0738
h2_k4,4,0.1104,0.0715,0.0911
h2_k16,16,0.1492,0.0798,0.1235
h2_k64,64,0.1307,0.0403,0.1094
