arm,tile,r0,c0,size,n_cells,n_frames,eta2,null_mean,null_p95,banked_pre_rebuild
baseline,E8_N44,47,281,469,219946,8,0.23265313751650452,0.09389539041163486,0.12467264248988758,0.196
a1,E8_N44,47,281,469,219946,8,0.12978782202569222,0.04932899081725815,0.06363966988229279,0.141
