variant,max_abs_offset,sd_offset,span_offset,frame_level_spread,max_over_frame_spread,n_over_frame_spread,n_over_logit_clip,within_frame_spread,conc_total_gain,conc_frac_edges_worse,conc_n_edges_worse,conc_n_edges,conc_gain_share_top_0.5pct,conc_gain_share_top_1pct,conc_gain_share_top_2pct,conc_gain_share_top_5pct,gain_share_top_1pct_vs_pfree,frac_edges_worse_vs_pfree,railed_frac
full,21.31097233218474,6.443089433838526,32.88031892661394,3.241107080382239,6.575213901810192,525,128,False,512902710.843278,0.2507482540738277,1508,6014,0.14542645591667852,0.24654119785588816,0.39671685536260504,0.6286812161944244,0.5132578607103175,0.4398071167276355,0.518072073088487
resid,7.329733388223431,1.456107614879206,11.734666254012696,3.241107080382239,2.2614906593456334,32,0,False,494033698.2199191,0.2959760558696375,1780,6014,0.15097190271911626,0.25632533493859705,0.4106167025880439,0.6483859757808331,,0.6127369471233788,0.029159787187287144
pfree,4.91271174610479,1.7767896314412577,9.749052972359287,3.241107080382239,1.5157511381960915,37,0,False,505829672.75177455,0.26405054871965417,1588,6014,0.14741670588296502,0.2500177916903528,0.4020052287379391,0.6369067970333139,,0.0,0.04941572486909694
