obs_id,n,rich_rate,ap_h1only,ap_full,ap_resid,ap_pfree,d_ap_full,sd_off_full,mean_off_full,d_ap_resid,sd_off_resid,mean_off_resid,d_ap_pfree,sd_off_pfree,mean_off_pfree
ESP_017355_2260,6996,0.6080617495711835,0.8377420876252645,0.873084877296411,0.8823205216400254,0.8574870517840534,0.03534278967114657,1.5942794192663121,12.407171756380771,0.044578434014760915,0.344562091151837,2.947996036261533,0.019744964158788902,0.15929232205032615,-0.5143151147499819
ESP_042964_2160,2564,0.07839313572542901,0.45792965085562365,0.45792965085562365,0.45792965085562365,0.45792965085562365,0.0,8.945483146438482e-08,-6.499100000684648,0.0,1.1619015099615769e-07,-0.18947143053623136,0.0,1.380750244636551e-07,0.3266285699876425
ESP_045139_2270,6293,0.7244557444779914,0.9482378628934711,0.9492414602928927,0.9501393317128414,0.9500239624407101,0.0010035973994215741,0.39680797030612974,9.1424543550379,0.0019014688193702556,0.12905137731559005,-0.48989325998669325,0.0017860995472389618,0.12108843807734364,-1.5640565146101828
ESP_045390_2215,2538,0.10914105594956659,0.46046315273415306,0.46046315273415306,0.46046315273415306,0.46046315273415306,0.0,2.462121083941239e-06,4.025025083329765,0.0,1.0065353644103843e-07,0.11097500046909269,0.0,1.2847055327077362e-07,0.6843999997580106
ESP_045878_2235,7313,0.03459592506495282,0.04488190056426457,0.04496618274596613,0.04492528424214989,0.044948191999747165,8.428218170156154e-05,0.006789308556980686,3.556485219074372,4.338367788532527e-05,0.0034449140473006516,0.3250521332447157,6.629143548259747e-05,0.005194784811887282,0.5963833872962218
ESP_045983_2270,2468,0.13209076175040518,0.3339740324057164,0.3337338605004238,0.3344263612178087,0.33478315530524627,-0.00024017190529257437,0.01634939953523124,9.674448478627868,0.00045232881209233966,0.02502349160095599,-0.6899114648101499,0.0008091228995298905,0.01727357123043428,-1.4445953260824285
ESP_046959_2225,4156,0.2550529355149182,0.966590007550036,0.9667874755067932,0.966511374176523,0.9667232354772762,0.00019746795675723572,0.1382526498424936,4.75180376159941,-7.863337351299293e-05,0.11135341237796512,-0.7561152339719596,0.00013322792724024257,0.13061526480099975,0.3189786065086165
ESP_051943_2270,2711,0.05385466617484323,0.42714031102764904,0.4270526293551535,0.42714031102764904,0.42714031102764904,-8.768167249556535e-05,0.0002969348130963796,9.540536625629656,0.0,5.6340112401591386e-08,-0.12551999905310943,0.0,4.9038216465924913e-08,-1.2111600000104195
ESP_052576_2250,4755,0.2637223974763407,0.7681966993198053,0.7681627365417638,0.7681966993198053,0.7681966993198053,-3.396277804146308e-05,0.00046498767688038197,7.296799099218193,0.0,3.9332536238015574e-07,-0.7095499980095105,0.0,3.746871562047323e-07,-0.46064999807776535
ESP_054000_2255,3535,0.20226308345120225,0.6740462754120689,0.6761680172596963,0.6763375340448157,0.6762131795119168,0.0021217418476274785,0.08146228521219948,8.122851524300051,0.0022912586327468176,0.11159935346245484,-0.734949054779321,0.0021669040998479883,0.1340119233931754,-1.7078790680135116
