tile,mosaic_mean,h1only_mean,h1only_ratio,h1only_fm_sd,h1only_fm_cv,resid_mean,resid_ratio,resid_fm_sd,resid_fm_cv,pfree_mean,pfree_ratio,pfree_fm_sd,pfree_fm_cv,full_mean,full_ratio,full_fm_sd,full_fm_cv,mosaic_fm_sd,mosaic_fm_cv
E-12_N32,0.0005626474739983678,0.0025127469561994076,4.46593483899067,0.003503653723921589,1.0346144947129714,0.0018073669634759426,3.2122546478919864,0.003179377806947104,1.2972321627126235,0.0002592001692391932,0.46067952175671745,0.00074160009995573,1.6846140385468429,0.0,0.0,0.0,,0.0008237591608216416,1.0784889831310527
E-12_N36,0.0020721247419714928,0.010567547753453255,5.099860804421898,0.005773663984780867,0.5119152249638304,0.008811013773083687,4.2521637788565645,0.004538960334594226,0.5605924659658426,0.004532075021415949,2.187163219287644,0.0034064611021391434,0.8505718321312414,1.269162055450579e-07,6.124930752204876e-05,7.498019997485313e-07,6.324555320336759,0.0035984857105366684,1.1006167367784285
E-12_N40,0.007615787908434868,0.024816932156682014,3.2586165023314284,0.01129603511837915,0.46260343971931495,0.019042372703552246,2.5003811729659464,0.007801489194250525,0.4025940286229905,0.017242979258298874,2.264109697592997,0.010202092650636492,0.594350330330301,1.3812627912557218e-05,0.0018136833744095,0.00017663635555150226,4.08732390733944,0.008709473610730649,0.899658156599372
E-12_N44,0.010577045381069183,0.023764606565237045,2.2468095492689275,0.012608059195035277,0.5111891835891986,0.018321307376027107,1.7321763040573335,0.009883643531438249,0.5614171499886488,0.017178727313876152,1.6241518018465413,0.010758217898896657,0.7022249605499492,7.902518700575456e-05,0.007471385832114703,9.723352524913386e-05,1.987623034985071,0.011412623046555319,0.8734594796146784
E-8_N32,0.00044223081204108894,0.0011412979802116752,2.580774448854174,0.00188112463161766,1.3288819693701202,0.0014819659991189837,3.351114302232948,0.0018720857777177152,1.0195545437061149,0.0025413790717720985,5.746725471349499,0.0029525933229367835,0.9758464760931296,9.004566692283333e-08,0.00020361689975249153,4.2282456861969e-07,3.7748484880110933,0.0007736366722744171,1.5382704826353772
E-8_N36,0.002803470240905881,0.008862892165780067,3.1614004801835227,0.006026181762009423,0.6753821214979769,0.012030300684273243,4.291217544861796,0.0058021623810772935,0.5319194635568092,0.019190121442079544,6.845131138570128,0.008494551302902501,0.4950589481979667,5.424500341177918e-05,0.019349234609407188,0.00010872201071442912,2.251451442551594,0.00333901001509567,1.1045573744687855
E-8_N40,0.009726304560899734,0.01590498723089695,1.6352549039884943,0.010865374845841479,0.7287120776183125,0.02024656906723976,2.0816301752087893,0.011985826523492891,0.5957288750209797,0.029601216316223145,3.043418610930776,0.013939252753151941,0.4666562428357614,0.0009690435836091638,0.09963121939495612,0.0016096065458740048,1.3344135003231237,0.007936032523882777,0.7988713128402551
E-8_N44,0.011463572271168232,0.0251669492572546,2.1953845330178114,0.00840747805708168,0.3684476660356018,0.030948732048273087,2.6997458834111887,0.008737210212394802,0.29191879601597925,0.04735152795910835,4.130608403647535,0.011994997450152376,0.2675572462168181,0.005136073566973209,0.44803429903703146,0.0035943721838010245,1.0485356898580815,0.009814601180512757,0.7253449477049354
E-4_N32,0.0002663747582118958,0.0007331215892918408,2.752218694493031,0.000602373177360271,0.7482528518961535,0.0020527064334601164,7.706084642701878,0.0016154897007421307,0.6812606562341418,0.0064642103388905525,24.267353191732987,0.003868848531376322,0.5366252325372713,6.286665302468464e-05,0.2360082969073048,0.00016202731910828979,2.0894529543925033,0.00022982278378071012,0.9203619111659058
E-4_N36,0.0007573800394311547,0.006826227530837059,9.012948817563284,0.003542197459703207,0.6169199869451284,0.011537405662238598,15.2333109688288,0.003752954472669469,0.3527680970823843,0.02539457008242607,33.529494785074036,0.005992945264220541,0.24321856092863098,0.0018412561621516943,2.431086200178455,0.002146101598727377,1.3520863118002624,0.0008791084290947455,1.1563974177931946
