row,n_edges,lambda,variant,metric,unleveled_dp,insample_dp,heldout_cv_dp,cv_edges_skipped,passes,note,heldout_cv_dp_probspace,insample_dp_probspace,railed_frac,railed_frac_unleveled,railed_ok
F_h1only,6014,0.0,h1only,dlogit,1.1730541847646236,1.1730541847646236,1.1730541847646236,0,False,unleveled by construction — the held-out value IS the baseline,0.16223527489099526,0.16223527489099526,0.0168,0.0168,True
F_full,6014,0.0,full,dlogit,1.1730541847646236,1.085898422908783,1.1197769548826844,0,False,,0.009367897201550707,0.011171916864202075,0.5181,0.0168,False
F_resid,6014,0.0,resid,dlogit,1.1730541847646236,1.1067013375520705,1.1437626667320728,0,True,,0.15428702373336944,0.15138824138934764,0.0292,0.0168,True
F_pfree,6014,0.0,pfree,dlogit,1.1730541847646236,1.097170574557781,1.1355571206653299,0,False,,0.14528507451662293,0.1392549016484988,0.0494,0.0168,False
