tile,frame,n_px,mean_resid,mean_ctx,mean_ab
E-12_N36,B04_011264_2163_XN_36N011W,674,0.0020564723480406433,111.06160892294139,0.0035704947338737127
E-12_N36,B16_016011_2180_XI_38N012W,1637,-0.0005000789177263171,167.53951289993128,0.0025375277620411007
E-12_N36,B18_016789_2162_XN_36N009W,57881,-0.0006196689233507945,106.23793436371608,0.0013885743425665793
E-12_N36,B19_016855_2177_XN_37N011W,232487,-0.00031128323497812575,120.28480673868997,0.00036811942571084356
E-12_N36,B19_017066_2211_XN_41N012W,2532,-0.001249770318513164,130.5834968651264,0.004339906346167036
E-12_N36,B20_017567_2157_XI_35N009W,3838,-0.0008425074396261587,118.17551764428087,0.0006879373795181522
E-12_N36,B21_017778_2198_XN_39N010W,79919,6.879466620736021e-05,126.67596082635231,0.001497094089713295
E-12_N36,B22_018279_2197_XN_39N010W,352,-0.001495624761222278,131.45832685990766,0.0011361494414359186
E-12_N36,D01_027417_2195_XN_39N009W,198068,0.00011271868688664615,132.1152596385774,0.002716868574727354
E-12_N36,D02_027892_2219_XI_41N011W,5992,0.000597138400081059,123.87939632400493,0.002547551616489958
E-12_N36,D02_028182_2218_XI_41N011W,1558,-0.0004550064166365807,87.23326680840822,0.0011309764569877852
E-12_N36,D06_029593_2165_XI_36N009W,1457,-0.003173987264196105,142.19995737173988,0.0009815463011318166
E-12_N36,D18_034274_2194_XN_39N011W,7454,0.0012388803483678868,97.40801721915247,0.006573672645323605
E-12_N36,D19_034485_2176_XI_37N011W,544,0.001042090095256764,84.54926614200367,0.002555002401403031
E-12_N36,D19_034709_2156_XN_35N007W,614,-0.0004365827678789672,158.65864687245522,0.0002223446885099106
E-12_N36,D19_034762_2170_XN_37N011W,106074,4.354116225476073e-05,149.4176998026584,0.0022123812153259847
E-12_N36,D20_035131_2223_XI_42N010W,3032,-0.0002879816926370854,188.18020573517893,0.0018100932318052966
E-12_N36,D20_035197_2199_XN_39N009W,184,0.0014461179665841183,91.93644382642663,0.0038566013280733782
E-12_N36,D22_035698_2176_XI_37N011W,171424,3.814607022934962e-06,111.90495108027099,0.001586563964113713
E-12_N36,D22_035843_2149_XN_34N008W,266,0.00014308998983162595,121.96182595159775,0.0022456317097489125
E-12_N36,F01_036199_2148_XN_34N007W,419,-0.000421494601739462,164.9391268272673,0.001882338856410739
E-12_N36,F03_037122_2154_XN_35N008W,9442,-0.00044428537970778143,101.14088729215209,0.00045571119805965963
E-12_N36,F04_037386_2160_XN_36N012W,1518,0.001336591145259486,91.15983394577569,0.003209492878144307
E-12_N36,F04_037465_2223_XN_42N010W,520,0.0002953605746480877,182.83184908353365,0.0034811535486369396
E-12_N36,F21_044019_2185_XI_38N008W,243410,-0.00029568892169408076,126.41974084925512,0.0004942993522896926
E-12_N36,F21_044164_2185_XI_38N008W,29598,-0.0003964930033539861,152.93615073495252,0.0004353315354641849
E-12_N36,F22_044507_2217_XI_41N008W,28338,0.00030582619043976794,123.61444776283172,0.002543921851945106
E-12_N36,F23_044929_2199_XI_39N010W,41665,-0.0002584897543736423,152.92077990932137,0.0005444764948063214
E-12_N36,G01_018556_2193_XI_39N011W,3453,-0.0003045639738852865,102.21381628067985,0.000672755542824324
E-12_N36,G02_018912_2180_XN_38N010W,60216,0.0005805479541064253,128.89643512197236,0.004076032154635332
E-12_N36,G04_019690_2176_XN_37N011W,21608,-0.00040129748591820417,81.46626321848389,0.0016967183933912756
E-12_N36,G04_019756_2204_XI_40N011W,37254,0.0006752559454286087,139.12206103287568,0.007745291693637144
E-12_N36,G17_024872_2173_XN_37N009W,4062,0.000986509426131129,98.2694415755016,0.002371544076055849
E-12_N36,G18_025360_2168_XN_36N009W,1479,-0.0008501864919330533,75.5776687426048,0.0006840874293014956
E-12_N36,G19_025650_2167_XN_36N009W,87498,0.0005862707019207178,118.70974248384606,0.005226801075402885
E-12_N36,G19_025782_2218_XN_41N011W,1068,-0.0009767300047565425,84.45253247893258,0.0005518345879056469
E-12_N36,J01_045351_2223_XI_42N010W,549,-0.0003465922158091641,170.4800525102459,0.0014667059803798875
E-12_N36,J02_045417_2191_XN_39N011W,2756,0.004364550280510059,102.65840332739931,0.007021667861090992
E-12_N36,J02_045641_2197_XI_39N010W,160435,1.3986565719390947e-05,132.1825862778832,0.0022333274740314853
E-12_N36,J03_045918_2153_XI_35N008W,1298,-0.00034374360266329343,108.77453218292565,0.0010092334758797462
E-12_N36,J03_046063_2204_XN_40N008W,46161,-0.0007944918415663584,143.61741058553892,0.001212982350410107
E-12_N36,J04_046353_2205_XN_40N008W,25329,0.0002923376286556076,115.5136731858739,0.00446908061509472
E-12_N36,J04_046419_2153_XI_35N008W,27044,-0.0006404573555305853,108.90170221733564,0.0025814028147171093
E-12_N36,J12_049544_2203_XN_40N010W,2524,-0.0006219260161533382,139.4208454307399,0.0036857638256374814
E-12_N36,J21_052946_2164_XI_36N010W,3944,0.00022119925849687903,111.1477080494105,0.0018522000530005055
E-12_N36,J22_053236_2191_XN_39N008W,7493,0.004077285570158053,124.64961855023022,0.00901708021848216
E-12_N36,J22_053302_2193_XI_39N011W,10758,6.582923566012123e-05,116.86518817028606,0.002170425512127658
E-12_N36,K01_053803_2165_XI_36N010W,66882,-1.2950394848602783e-05,137.9789394270179,0.002059013483839788
E-12_N36,K02_054159_2164_XI_36N007W,826,2.2804807987513658e-05,166.51414123978512,0.00045999375910266496
E-12_N36,K11_057786_2188_XN_38N011W,7415,0.0020670502964592013,109.94456997007755,0.004830532771461227
E-12_N36,P01_001414_2164_XI_36N008W,90,-0.0003021971796647717,147.2416775173611,0.0019520008307558278
E-12_N36,P02_001810_2175_XI_37N012W,144,0.010493997315397317,153.41604275173611,0.013268146474628238
E-12_N36,P02_001968_2164_XI_36N008W,13222,0.0021846464359093244,137.7022490333346,0.00727487836597977
E-12_N36,P03_002166_2204_XN_40N011W,269,0.005063666066525929,135.5299939010223,0.012614116123775764
E-12_N36,P05_003089_2211_XN_41N011W,72456,-0.00012837099527476293,102.44614151875362,0.0013321944647758338
E-12_N36,P06_003445_2163_XI_36N009W,231,-0.0018514029132882133,83.71225649350649,0.00035373349766649136
E-12_N36,P13_006135_2174_XN_37N010W,89243,-0.00028769576312982667,132.13429664126318,0.0008478662869868495
E-12_N36,P17_007638_2193_XN_39N008W,8912,-0.00048650414763407333,110.97496254611058,0.0014487559442523305
E-12_N36,P17_007704_2223_XI_42N011W,25045,-0.0004587792283657059,128.53148239419045,0.0026251234407216476
E-12_N36,P20_008719_2181_XN_38N007W,731,-0.0021431083983552927,139.00853256455198,0.0012207395881679572
E-12_N36,P20_008851_2163_XN_36N012W,7254,-0.00014265694834849293,116.32403202651123,0.0012586299157403252
E-12_N36,P21_009141_2166_XN_36N010W,57063,0.00036590648109250816,133.62155299775577,0.002745103898956141
E-12_N36,P21_009431_2171_XN_37N008W,101537,0.00047321068028123104,135.45385581810694,0.004765441490766514
E-8_N32,B02_010354_2163_XI_36N008W,770,-0.0002938097352100806,108.56192928165585,0.0005487559266201699
E-8_N32,B03_010710_2169_XN_36N006W,34034,-0.0006231967931449517,157.7667418748531,0.0021709074298625593
E-8_N32,B04_011277_2168_XN_36N006W,17732,0.0004395483337296014,149.3206328622864,0.005035821695628545
E-8_N32,B05_011422_2168_XI_36N005W,33092,-8.076029127499229e-05,96.02023038399575,0.00014568369533781098
E-8_N32,B07_012200_2153_XN_35N005W,38539,-6.163144059662558e-05,120.0165014711153,3.685451378302068e-05
E-8_N32,B09_013334_2143_XN_34N004W,12831,-0.00011386366344054845,116.76410098102252,0.00011382825428548165
E-8_N32,B12_014178_2145_XI_34N007W,144953,-6.944893613552986e-05,138.52425068114752,0.0003458495099270943
E-8_N32,B16_015879_2125_XN_32N004W,142408,1.0657179594275068e-05,148.9934196071433,0.00010075630043859196
E-8_N32,B17_016090_2127_XN_32N005W,214908,-1.153872899981977e-05,150.64969027338154,3.9763432823556156e-05
E-8_N32,B17_016235_2120_XN_32N004W,17303,-4.643507839790427e-06,102.06866228264246,3.4260631323532633e-06
E-8_N32,B17_016367_2117_XN_31N007W,26257,-8.317673220697725e-06,170.1280715767462,8.348478355726236e-05
E-8_N32,B17_016446_2125_XN_32N004W,44924,-2.0727376679488097e-05,123.31408879440833,3.467352231256791e-05
E-8_N32,B19_016868_2125_XN_32N004W,7850,-5.27828389283253e-06,121.97884753184714,3.5524548334454205e-05
E-8_N32,B19_017079_2126_XN_32N006W,123146,-2.8636589667815754e-05,144.9419900110663,5.5473800542567894e-05
E-8_N32,B19_017145_2132_XN_33N008W,14965,-2.4955789352521515e-05,145.10152471652606,8.287751322577919e-05
E-8_N32,B20_017290_2162_XI_36N008W,79,0.0009304406008678244,131.08708712420886,0.0014568200475636491
E-8_N32,B20_017369_2147_XN_34N004W,77960,3.8907292048862225e-05,133.58292106679306,0.0009251960163030874
E-8_N32,D04_028907_2146_XI_34N003W,6680,-0.00011510879814791698,116.8245425652601,0.00020121662509373228
E-8_N32,D18_034076_2127_XN_32N004W,109,-1.1569310940323078e-05,172.66106113818807,3.870412844303705e-05
E-8_N32,D19_034564_2152_XN_35N007W,8353,0.001629941161793653,166.33419493277117,0.004254355815532377
E-8_N32,D19_034709_2156_XN_35N007W,222,-0.00039075083674226194,159.79026780686937,0.00040561625352999835
E-8_N32,D22_035843_2149_XN_34N008W,65366,-5.322329345953689e-05,140.87454129978218,0.00042893041450480743
E-8_N32,F01_036199_2148_XN_34N007W,557,0.00020092829377196662,126.61791159391831,0.0002298766360302578
E-8_N32,F01_036265_2135_XN_33N006W,72785,2.4741702188784636e-05,115.90119287273734,0.0004841943075337795
E-8_N32,F03_037122_2154_XN_35N008W,93326,6.974807850432883e-05,150.90503053685802,0.0006727454330382632
E-8_N32,F09_039140_2152_XN_35N005W,840,-4.313091400767818e-05,113.40217633928572,0.00010694873448561079
E-8_N32,F17_042331_2157_XN_35N007W,72111,-9.147964344979912e-05,148.99770957220034,0.0003179315360126357
E-8_N32,F18_042964_2161_XN_36N006W,1578,-0.000770767283259533,140.8769296082858,0.000507245176352007
E-8_N32,F20_043676_2125_XN_32N005W,60955,-2.5310101455549573e-07,157.90644960613875,4.2762992379675744e-05
