tile,frame,n,median,iqr,p5,p25,p50,p75,p95,pn5,pn25,pn50,pn75,pn95
E-12_N36,B04_011264_2163_XN_36N011W,674,101.8173828125,23.02490234375,86.73525390625,94.989013671875,101.8173828125,118.013916015625,158.21464843750002,-0.6550355211536425,-0.29656452125967553,0.0,0.7034354787403244,2.449403032552222
E-12_N36,B16_016011_2180_XI_38N012W,1637,170.1669921875,19.70703125,133.5384765625,158.7763671875,170.1669921875,178.4833984375,194.40605468749996,-1.858652130822597,-0.577998017839445,0.0,0.422001982160555,1.2299702675916728
E-12_N36,B18_016789_2162_XN_36N009W,57881,102.8193359375,39.1171875,62.8798828125,86.4052734375,102.8193359375,125.5224609375,158.8115234375,-1.0210205712003195,-0.41961254244058316,0.0,0.5803874575594168,1.4313960455362493
E-12_N36,B19_016855_2177_XN_37N011W,232487,128.3212890625,68.29345703125,57.2294921875,86.55078125,128.3212890625,154.84423828125,165.82558593749997,-1.0409752261108927,-0.6116326457655596,0.0,0.38836735423444035,0.5491638365566791
E-12_N36,B19_017066_2211_XN_41N012W,2532,127.46630859375,31.474609375,92.499951171875,111.9658203125,127.46630859375,143.4404296875,183.08950195312497,-1.110938566552901,-0.4924759540800496,0.0,0.5075240459199504,1.7672401489295677
E-12_N36,B20_017567_2157_XI_35N009W,3838,121.57421875,83.145751953125,55.6162109375,68.989990234375,121.57421875,152.1357421875,212.94130859375,-0.793281752382071,-0.6324343370575367,0.0,0.36756566294246323,1.0988786281620249
E-12_N36,B21_017778_2198_XN_39N010W,79919,126.5546875,53.70751953125,70.16298828125,99.115234375,126.5546875,152.82275390625,186.86142578124998,-1.0499777258552818,-0.510905239424327,0.0,0.48909476057567297,1.1228732737537839
E-12_N36,B22_018279_2197_XN_39N010W,352,128.9443359375,43.4990234375,82.51015625,106.53955078125,128.9443359375,150.03857421875,201.757080078125,-1.0674763711469817,-0.5150640953685203,0.0,0.4849359046314797,1.6738937655748378
E-12_N36,D01_027417_2195_XN_39N009W,198068,137.453125,47.785888671875,70.825537109375,110.40283203125,137.453125,158.188720703125,175.2431640625,-1.3942942099105404,-0.566072824437621,0.0,0.433927175562379,0.7908200540537779
E-12_N36,D02_027892_2219_XI_41N011W,5992,119.48779296875,50.826171875,78.021142578125,99.09228515625,119.48779296875,149.91845703125,175.8806640625,-0.8158523229450871,-0.4012796372439765,0.0,0.5987203627560235,1.1095242669945815
E-12_N36,D02_028182_2218_XI_41N011W,1558,87.025390625,13.14404296875,69.767626953125,80.808349609375,87.025390625,93.952392578125,104.8087890625,-1.3129722500835839,-0.4729930532337754,0.0,0.5270069467662246,1.3529625914781378
E-12_N36,D06_029593_2165_XI_36N009W,1457,138.5009765625,22.4814453125,99.321484375,130.0966796875,138.5009765625,152.578125,201.4191406250001,-1.742747925806872,-0.3738325876373746,0.0,0.6261674123626254,2.798670778854094
E-12_N36,D18_034274_2194_XN_39N011W,7454,94.9208984375,28.359619140625,66.7314453125,81.27197265625,94.9208984375,109.631591796875,137.647607421875,-0.9939997073027953,-0.4812802920085054,0.0,0.5187197079914946,1.5066037654634514
E-12_N36,D19_034485_2176_XI_37N011W,544,85.65234375,22.276611328125,56.336962890625,73.29296875,85.65234375,95.569580078125,112.47382812500001,-1.3159712860978683,-0.5548139624088991,0.0,0.44518603759110087,1.2040199462984278
E-12_N36,D19_034709_2156_XN_35N007W,614,159.38818359375,12.21435546875,142.981591796875,153.59423828125,159.38818359375,165.80859375,169.416064453125,-1.3432220667599446,-0.47435538676793926,0.0,0.5256446132320608,0.8209914051569049
E-12_N36,D19_034762_2170_XN_37N011W,106074,160.150390625,29.846923828125,91.126220703125,137.504638671875,160.150390625,167.3515625,178.30078125,-2.312605825623911,-0.7587298471203161,0.0,0.24127015287968392,0.6081159562546522
E-12_N36,D20_035131_2223_XI_42N010W,3032,195.2021484375,25.98974609375,107.01787109375,180.93701171875,195.2021484375,206.9267578125,223.0458984375,-3.393041125744453,-0.5488755706690214,0.0,0.4511244293309786,1.071335976102354
E-12_N36,D22_035698_2176_XI_37N011W,171424,112.099609375,52.3583984375,65.722802734375,83.9951171875,112.099609375,136.353515625,162.552734375,-0.8857567844819548,-0.5367714259069291,0.0,0.46322857409307094,0.9636109297771146
E-12_N36,D22_035843_2149_XN_34N008W,266,117.39013671875,11.104248046875,104.77685546875,112.227783203125,117.39013671875,123.33203125,171.814453125,-1.1358969285227447,-0.46489897324275004,0.0,0.5351010267572499,4.901215838884858
E-12_N36,F01_036199_2148_XN_34N007W,419,163.9052734375,60.82958984375,121.31787109375,133.94677734375,163.9052734375,194.7763671875,215.96611328125,-0.7001099703802407,-0.492498735741979,0.0,0.507501264258021,0.8558472936851313
E-12_N36,F03_037122_2154_XN_35N008W,9442,109.27880859375,33.55859375,39.4529296875,85.923095703125,109.27880859375,119.481689453125,136.00903320312497,-2.080715283436154,-0.6959681643580491,0.0,0.30403183564195085,0.7965239785822363
E-12_N36,F04_037386_2160_XN_36N012W,1518,89.33935546875,14.4814453125,75.23994140625,82.564453125,89.33935546875,97.0458984375,113.05034179687499,-0.9736192595589724,-0.46783329961561804,0.0,0.532166700384382,1.6373356261379721
E-12_N36,F04_037465_2223_XN_42N010W,520,185.77392578125,22.4052734375,148.511083984375,172.615478515625,185.77392578125,195.020751953125,211.33320312499998,-1.6631281872466546,-0.5872924203460751,0.0,0.41270757965392496,1.140770605413415
E-12_N36,F21_044019_2185_XI_38N008W,243410,129.41064453125,50.283203125,80.3662109375,101.4951171875,129.41064453125,151.7783203125,167.04296875,-0.9753641483783259,-0.5551660516605166,0.0,0.4448339483394834,0.7484074577587881
E-12_N36,F21_044164_2185_XI_38N008W,29598,158.73681640625,20.289794921875,92.6982421875,147.636962890625,158.73681640625,167.9267578125,180.22744140625,-3.254767949751525,-0.5470658307964431,0.0,0.45293416920355684,1.0591839435907924
E-12_N36,F22_044507_2217_XI_41N008W,28338,122.52197265625,19.693603515625,98.681640625,113.272705078125,122.52197265625,132.96630859375,150.83896484374998,-1.2105622016983821,-0.4696584640178516,0.0,0.5303415359821484,1.4378776421000423
E-12_N36,F23_044929_2199_XI_39N010W,41665,161.052734375,44.1396484375,85.88359375,134.2822265625,161.052734375,178.421875,193.67539062499998,-1.702984579304852,-0.6064957189318347,0.0,0.3935042810681652,0.7390782981924374
E-12_N36,G01_018556_2193_XI_39N011W,3453,101.9267578125,45.296875,54.5482421875,78.29296875,101.9267578125,123.58984375,154.140625,-1.045955501897206,-0.5217531907554329,0.0,0.4782468092445671,1.1527035184546395
E-12_N36,G02_018912_2180_XN_38N010W,60216,132.068359375,31.097412109375,83.285400390625,114.20556640625,132.068359375,145.302978515625,163.330078125,-1.5687144259077528,-0.574414131501472,0.0,0.425585868498528,1.0052836113837096
E-12_N36,G04_019690_2176_XN_37N011W,21608,69.74853515625,27.114013671875,51.046240234375,61.21142578125,69.74853515625,88.325439453125,159.8076171875,-0.6897648997379772,-0.3148596691848477,0.0,0.6851403308151524,3.321495781521534
E-12_N36,G04_019756_2204_XI_40N011W,37254,132.2548828125,38.419921875,99.732861328125,117.3447265625,132.2548828125,155.7646484375,202.4001953125,-0.8464884855879213,-0.38808398149560264,0.0,0.6119160185043974,1.8257536475013978
E-12_N36,G17_024872_2173_XN_37N009W,4062,88.48974609375,47.201416015625,64.564794921875,74.249267578125,88.48974609375,121.45068359375,151.09970703125,-0.5068693524777977,-0.30169600231719745,0.0,0.6983039976828026,1.3264424295401296
E-12_N36,G18_025360_2168_XN_36N009W,1479,61.404296875,41.31103515625,52.03935546875,56.5908203125,61.404296875,97.90185546875,121.02333984374997,-0.22669345783346131,-0.11651793629218131,0.0,0.8834820637078187,1.4431747532651726
E-12_N36,G19_025650_2167_XN_36N009W,87498,127.0810546875,35.11572265625,59.03662109375,100.59228515625,127.0810546875,135.7080078125,160.10634765624997,-1.9377198715185562,-0.7543279057802745,0.0,0.24567209421972552,0.9404702643324935
E-12_N36,G19_025782_2218_XN_41N011W,1068,80.75830078125,12.97607421875,61.340673828125,74.894287109375,80.75830078125,87.870361328125,131.00756835937497,-1.49641768579492,-0.45190968955785515,0.0,0.5480903104421448,3.8724553151458116
E-12_N36,J01_045351_2223_XI_42N010W,549,170.1220703125,28.4091796875,133.998046875,155.92578125,170.1220703125,184.3349609375,207.83339843750002,-1.2715616513698396,-0.49970781341308307,0.0,0.5002921865869169,1.3274346017668703
E-12_N36,J02_045417_2191_XN_39N011W,2756,100.24609375,31.419189453125,69.32470703125,85.302001953125,100.24609375,116.72119140625,145.744140625,-0.9841560924059584,-0.47563581546781875,0.0,0.5243641845321813,1.4480974101155464
E-12_N36,J02_045641_2197_XI_39N010W,160435,132.9140625,50.81591796875,73.918359375,107.06982421875,132.9140625,157.8857421875,187.27080078125,-1.16096895388725,-0.5085854849093407,0.0,0.49141451509065925,1.069679353518271
E-12_N36,J03_045918_2153_XI_35N008W,1298,108.97900390625,42.71435546875,77.129052734375,86.18994140625,108.97900390625,128.904296875,147.76752929687498,-0.7456498130980008,-0.5335223310737434,0.0,0.4664776689262566,0.9080910847174747
E-12_N36,J03_046063_2204_XN_40N008W,46161,147.65234375,29.6591796875,109.9130859375,128.98828125,147.65234375,158.6474609375,167.46484375,-1.2724309374073952,-0.6292845148332291,0.0,0.37071548516677094,0.6680056632972243
E-12_N36,J04_046353_2205_XN_40N008W,25329,115.2119140625,15.158203125,94.8521484375,107.7548828125,115.2119140625,122.9130859375,136.12480468749996,-1.3431516557144694,-0.4919469140574668,0.0,0.5080530859425332,1.3796417987372736
E-12_N36,J04_046419_2153_XI_35N008W,27044,113.17724609375,23.39794921875,73.156591796875,97.653076171875,113.17724609375,121.051025390625,134.72460937499997,-1.7104342745048935,-0.6634842129426741,0.0,0.3365157870573259,0.9209081992529047
E-12_N36,J12_049544_2203_XN_40N010W,2524,137.111328125,35.209228515625,93.373388671875,121.44873046875,137.111328125,156.657958984375,189.954931640625,-1.2422294181684543,-0.4448435343960837,0.0,0.5551564656039163,1.500845254026918
E-12_N36,J21_052946_2164_XI_36N010W,3944,121.85498046875,52.052734375,63.561962890625,82.628173828125,121.85498046875,134.680908203125,146.728369140625,-1.119883869273198,-0.7535974259877678,0.0,0.24640257401223217,0.4778497992570636
E-12_N36,J22_053236_2191_XN_39N008W,7493,125.3056640625,24.603515625,93.6392578125,111.65234375,125.3056640625,136.255859375,155.68281249999993,-1.287068349607049,-0.5549337143764388,0.0,0.44506628562356115,1.2346669842025848
E-12_N36,J22_053302_2193_XI_39N011W,10758,114.56201171875,49.94189453125,66.00107421875,89.59765625,114.56201171875,139.53955078125,179.327197265625,-0.9723487255697538,-0.49986801067646974,0.0,0.5001319893235303,1.2968107468640313
E-12_N36,K01_053803_2165_XI_36N010W,66882,140.3359375,22.81884765625,96.53515625,128.03125,140.3359375,150.85009765625,171.54072265624998,-1.9195001390880106,-0.5392335180707423,0.0,0.4607664819292577,1.3675004814584975
E-12_N36,K02_054159_2164_XI_36N007W,826,167.52392578125,6.37646484375,152.77685546875,164.002685546875,167.52392578125,170.379150390625,176.08203125,-2.3127345125966765,-0.5522245194884754,0.0,0.4477754805115246,1.3421395206371085
E-12_N36,K11_057786_2188_XN_38N011W,7415,108.92578125,25.39453125,81.67236328125,96.591796875,108.92578125,121.986328125,141.95791015625,-1.07320027688048,-0.48569450853714813,0.0,0.5143054914628519,1.3007575757575756
E-12_N36,P02_001968_2164_XI_36N008W,13222,136.7568359375,29.75390625,91.591015625,122.938720703125,136.7568359375,152.692626953125,190.69062499999998,-1.5179795194958645,-0.46441348299855584,0.0,0.5355865170014441,1.8126624655376127
E-12_N36,P03_002166_2204_XN_40N011W,269,122.4345703125,34.3798828125,100.3208984375,111.802734375,122.4345703125,146.1826171875,223.108203125,-0.6432154523505182,-0.30924584576054537,0.0,0.6907541542394546,2.9282715523363154
E-12_N36,P05_003089_2211_XN_41N011W,72456,98.271484375,60.63232421875,46.97607421875,72.6796875,98.271484375,133.31201171875,164.558837890625,-0.8460076504932554,-0.42208173948057176,0.0,0.5779182605194282,1.093267565935172
E-12_N36,P06_003445_2163_XI_36N009W,231,87.06640625,16.45654296875,54.11962890625,76.5732421875,87.06640625,93.02978515625,106.81201171875,-2.0020472954929827,-0.6376286977420408,0.0,0.3623713022579592,1.1998635136338012
E-12_N36,P13_006135_2174_XN_37N010W,89243,136.5810546875,20.52099609375,95.6486328125,124.2998046875,136.5810546875,144.82080078125,153.33847656249998,-1.9946605753444215,-0.5984724105931901,0.0,0.4015275894068099,0.8165988531182324
E-12_N36,P17_007638_2193_XN_39N008W,8912,112.10546875,25.288818359375,61.33037109375,98.9169921875,112.10546875,124.205810546875,153.56005859374991,-2.0078082310803893,-0.521514148074491,0.0,0.478485851925509,1.6392458221908968
E-12_N36,P17_007704_2223_XI_42N011W,25045,128.1142578125,40.025390625,80.7505859375,107.82421875,128.1142578125,147.849609375,180.11445312499998,-1.18334065290587,-0.5069291953349925,0.0,0.4930708046650076,1.2991802078758596
E-12_N36,P20_008719_2181_XN_38N007W,731,137.662109375,13.4423828125,120.94580078125,131.4375,137.662109375,144.8798828125,163.81005859375,-1.2435524881946967,-0.46305848165637487,0.0,0.5369415183436251,1.9451870686523791
E-12_N36,P20_008851_2163_XN_36N012W,7254,105.52587890625,49.234375,83.97578125,94.44873046875,105.52587890625,143.68310546875,158.37890624999997,-0.43770430022215173,-0.22498809901618533,0.0,0.7750119009838147,1.0734984925420497
