row,calibrator,n,spearman,top_ratio,near_zero_pred,near_zero_true,marginal_l1,rich_bin_rmse,passes_top_ratio
F_h1only,rebanked_f,89145,0.5832021441929148,1.3024208656269536,0.03033260418419429,0.23837568007179313,0.008731087288350828,0.024746292035850496,False
F_h1only,reused_mosaic,89145,0.5832061655685236,1.2944921988544587,0.0021201413427561835,0.23837568007179313,0.009842134905810295,0.024627888888424296,False
F_full,rebanked_f,89145,0.4438897104767919,8.743894496342756,0.08025127601099333,0.23837568007179313,0.14534558163471886,0.23427909673143213,False
F_full,reused_mosaic,89145,0.4437712294165335,8.791309889829922,0.07975769813225643,0.23837568007179313,0.14674882101937206,0.23490415344516674,False
F_resid,rebanked_f,89145,0.5601356820204373,1.4281776514785243,0.07798530484042851,0.23837568007179313,0.008628106433845309,0.029775465794971364,False
F_resid,reused_mosaic,89145,0.5600487997243373,1.462069602486926,0.01817264008076729,0.23837568007179313,0.010155545124085159,0.03109050999819843,False
F_pfree,rebanked_f,89145,0.43550771602680144,0.939619507438834,0.11187391328734085,0.23837568007179313,0.006272518409597734,0.02137749383386208,True
F_pfree,reused_mosaic,89145,0.43675909426854037,0.9421633998715335,0.035358124404060796,0.23837568007179313,0.007274215530307206,0.020545842150903774,True
