obs_id,n_tiles,mean_true,mean_pred,ratio
ESP_017355_2260,14250,0.023864953399122805,0.0321677762900561,1.3479086152851436
ESP_042964_2160,2571,0.0029813150281991444,0.004800921194303858,1.6103367637749582
ESP_045139_2270,6645,0.02161266107035365,0.06386396755675793,2.9549330991157268
ESP_045390_2215,2552,0.003940873579545455,0.005553707810240644,1.4092580485368462
ESP_045550_2180,3032,0.014371998165402375,0.005831372112784694,0.40574539779879193
ESP_045878_2235,7330,0.0015358064034788545,0.0012222487978669372,0.7958352010372807
ESP_045983_2270,2476,0.004903148349151857,0.000949199719802073,0.1935898431395136
ESP_046328_2180,1876,0.008074818430170575,0.010329229599583985,1.2791903234616493
ESP_046959_2225,4157,0.009050096223237913,0.00986510461862653,1.0900552187827486
ESP_047976_2020,3271,0.0005881587243962091,0.0018145348241268623,3.0851107853405115
ESP_048688_2085,1381,0.0030736049511223746,0.0027642446045621307,0.8993493466207243
ESP_049242_2115,2434,0.005578731640304025,0.000783809222844775,0.14049953885253738
ESP_051943_2270,2747,0.0025585155396796503,0.0027221611074755305,1.0639611388939894
ESP_052576_2250,4866,0.011287705828709412,0.011273949280867262,0.9987812804434395
ESP_053989_2260,2768,0.05467383941473988,0.06815690057090405,1.2466090053395662
ESP_054000_2255,3613,0.007284869741212289,0.0021069539407216537,0.28922328271734227
ESP_054134_2265,3746,0.053404089361986117,0.0352004518173829,0.6591340146029929
ESP_054397_2105,6092,0.0011808262885751805,0.0015713731622167863,1.3307403277012497
ESP_054622_2240,5136,0.05481333509783878,0.048167208661743274,0.8787498256723014
ESP_055017_2055,3113,0.002325115945229682,0.00038049221586332745,0.1636444051936263
ESP_055055_2255,4424,0.0021573907945298372,0.003435640655640989,1.5924980603199999
ESP_055253_2245,2599,0.002280113745671412,0.0023096234974532438,1.0129422279208014
ESP_055690_2200,4913,0.00237785117290861,0.01388420322276919,5.838970655924568
ESP_055978_2270,5511,0.0008410664466521502,0.005023352853524815,5.972599279783637
ESP_059421_2170,4601,0.0021929081313844813,0.005838847775812094,2.6626048270092224
ESP_059686_2235,4380,0.026385835830479452,0.05690511208690876,2.156653761226511
ESP_063429_2240,2190,0.019226187928082193,0.003937018435302984,0.2047737414213292
ESP_064510_2260,4539,0.00903332576007931,0.003988795460305014,0.4415644432898204
ESP_066634_2210,4045,0.009996774567367119,0.032083925729671336,3.2094277522676378
ESP_068402_2240,5940,0.00466121501473064,0.00272197727557435,0.5839630368846321
ESP_068483_2280,5349,0.03386060770704804,0.009116358925777243,0.2692319938451573
ESP_069669_2220,4430,0.0011908154627539504,0.004361611381789141,3.6627097297697326
ESP_069763_2235,4352,0.050202169979319845,0.027203617506486203,0.5418813074752026
ESP_071093_2210,3400,0.016675551470588232,0.01312609347558537,0.7871459902682514
ESP_071699_2260,3089,0.015622685840887017,0.018790387999505845,1.202762968600985
ESP_076499_1160,7856,0.03478175021480398,2.9318900658953605e-06,8.429391988007191e-05
ESP_076565_2215,2448,0.004877211626838235,0.007577777962720128,1.553711124820023
ESP_076723_2265,6522,0.01874184251379945,0.02181980608483349,1.164229507785468
