pid,median,iqr,incidence,cos_i,median_lam
B03_010683_2290_XI_49N351W,0.09292325377464294,0.0019652321934700012,57.859,0.5320046311463273,0.17466624975504114
F02_036739_2274_XN_47N351W,0.0887392908334732,0.002657432109117508,50.908,0.6305674447643509,0.14072926150926796
J02_045627_2256_XI_45N349W,0.10511854290962219,0.0027932748198509216,46.149,0.692785351301544,0.15173320670267457
P18_008046_2253_XN_45N350W,0.11458917707204819,0.002296462655067444,43.118,0.7299475838054409,0.15698274727434486
P21_009338_2253_XN_45N350W,0.11027944833040237,0.003695523366332054,44.28,0.7159364830218312,0.1540352404796217
P22_009549_2289_XN_48N351W,0.10565696656703949,0.0016720276325941086,45.939,0.6954238223485275,0.151931761857429
P22_009694_2267_XN_46N350W,0.10879509150981903,0.0028078630566596985,46.469,0.6887469402246605,0.1579609072010272
