axis,r2,p_value,n,null_p95_r2
incidence,0.0018974071832592587,0.37162837162837165,906,0.00902248711814524
epoch_year,0.004346548153823959,0.14085914085914086,906,0.006701147339105731
subsolar_lat,0.00019848965474489333,0.7842157842157842,906,0.008849718950253261
ln_frame_median,0.08471835406811346,0.028971028971028972,906,0.06854436820957337
mola_elev,0.1415233758937935,0.055944055944055944,906,0.15040164227616493
themis_night_ir,0.0007701663457319041,0.5384615384615384,906,0.009459240710729813
