arm,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
a1,E-8_N44,938,938,219943,5,0.15015836892698312,0.07308063886125946,0.1160547026557061,0.07707773006572366,1.293858546796253
baseline,E0_N32,0,0,219928,20,0.05807557056830043,0.06301222010063812,0.09354025375238453,-0.004936649532337689,0.6208618026848143
baseline,E0_N32,0,469,219931,10,0.07109100090812978,0.022551992190093163,0.04775428134550073,0.04853900871803662,1.4886832950911484
baseline,E0_N32,0,938,219930,12,0.04412290407246966,0.019465405672764273,0.031281264150725394,0.024657498399705387,1.4105217698321977
baseline,E0_N32,469,0,219942,11,0.04628163278375887,0.02347672475609308,0.039878642496336714,0.022804908027665792,1.1605618919453025
baseline,E0_N32,469,469,219944,10,0.025713900956223154,0.02319859183210333,0.04075917332827984,0.0025153091241198224,0.6308739568665919
baseline,E0_N32,469,938,219914,12,0.2027495986391937,0.08732043035997974,0.13704791007830583,0.11542916827921396,1.4794067164055806
baseline,E0_N32,938,0,219940,7,0.046332181440690075,0.016939716574988006,0.028275016881900344,0.02939246486570207,1.6386261282959178
baseline,E0_N32,938,469,219939,9,0.14131341594341162,0.03033477887726631,0.05679029990961335,0.11097863706614532,2.4883372013939717
baseline,E0_N32,938,938,219933,11,0.09393075550088306,0.06069015141800856,0.08258188755997382,0.0332406040828745,1.1374256301984778
a1,E0_N32,0,0,219928,20,0.04398098872263166,0.03239267142964295,0.04795790956334925,0.01158831729298871,0.9170747666667094
a1,E0_N32,0,469,219931,10,0.08320976512321566,0.029688236624916754,0.04373061863690019,0.053521528498298915,1.9027804251779485
a1,E0_N32,0,938,219930,12,0.013941704286204771,0.007018607564135883,0.011131718066717596,0.006923096722068888,1.252430595407251
a1,E0_N32,469,0,219942,11,0.059949983313704915,0.013540551491303973,0.04291608014809593,0.04640943182240094,1.3969119059063164
a1,E0_N32,469,469,219944,10,0.022029064413501637,0.012668119129085095,0.019917544437614232,0.009360945284416541,1.1060130671479664
a1,E0_N32,469,938,219914,12,0.10268840364484491,0.0443165520504398,0.06502439305349042,0.05837185159440511,1.5792289450571464
a1,E0_N32,938,0,219940,7,0.02248028897192546,0.0075731526657606425,0.015797511344176552,0.014907136306164819,1.4230272403135438
a1,E0_N32,938,469,219939,9,0.17408016168295162,0.0311096521970927,0.048924611080894784,0.14297050948585893,3.558130720653403
a1,E0_N32,938,938,219933,11,0.04719754937088957,0.040561343709120005,0.05690998192766663,0.006636205661769562,0.8293369242478112
baseline,E0_N36,0,0,219924,12,0.21918047701410115,0.04093645252464388,0.07409992839834664,0.17824402448945725,2.9579040324550654
baseline,E0_N36,0,469,219938,11,0.04660110457834939,0.03841093846136268,0.06165560869546888,0.008190166116986704,0.7558291218650176
baseline,E0_N36,0,938,219951,12,0.3831811601737296,0.12645816986405345,0.21820938587396668,0.25672299030967616,1.7560251069816368
baseline,E0_N36,469,0,219945,13,0.3352686511797899,0.1302336398712219,0.20011553271919663,0.20503501130856797,1.6753754524904418
baseline,E0_N36,469,469,219937,10,0.06474003267203847,0.027924033667045822,0.05137453568858867,0.03681599900499265,1.260158010273143
baseline,E0_N36,469,938,219947,12,0.2764523930704323,0.11561142599641612,0.16974870141654824,0.16084096707401618,1.628597984923859
baseline,E0_N36,938,0,219922,27,0.18974341298761455,0.12597974926190778,0.17052643346027982,0.06376366372570677,1.1126920861322704
baseline,E0_N36,938,469,219938,14,0.15010230457223847,0.06951738960869802,0.10023120844867513,0.08058491496354045,1.4975605591855212
baseline,E0_N36,938,938,219938,9,0.021245426816425526,0.026588476573243536,0.040030106909195874,-0.00534304975681801,0.53073619974632
a1,E0_N36,0,0,219924,12,0.17061689106680217,0.03142991294034767,0.040138991502489334,0.1391869781264545,4.250652163401287
a1,E0_N36,0,469,219938,11,0.14616034051391635,0.06703910494458097,0.08589102843202492,0.07912123556933538,1.7016950801746331
a1,E0_N36,0,938,219951,12,0.19314572573598698,0.06339332968454017,0.13653145830324445,0.1297523960514468,1.4146609736416855
a1,E0_N36,469,0,219945,13,0.07039525115925131,0.03866230367864959,0.05178439956271979,0.03173294748060172,1.3593910859966734
a1,E0_N36,469,469,219937,10,0.033302592200091775,0.010868539161892973,0.016935749905765008,0.0224340530381988,1.9664078877756348
a1,E0_N36,469,938,219947,12,0.060693014704335906,0.01809620796667806,0.03198991416069407,0.042596806737657845,1.8972546909459753
a1,E0_N36,938,0,219922,27,0.2400524538007611,0.1008332566076215,0.14676253389091842,0.13921919719313958,1.6356521479738189
a1,E0_N36,938,469,219938,14,0.13841363139830687,0.05788893524699592,0.07289812447083395,0.08052469615131094,1.8987269206587782
a1,E0_N36,938,938,219938,9,0.12007839992373344,0.06793074922787916,0.11457289276840509,0.05214765069585428,1.0480524408723542
baseline,E0_N40,0,0,219938,6,0.07200821491552253,0.0594445950654167,0.09676314514196772,0.012563619850105831,0.7441698469998513
baseline,E0_N40,0,469,219945,6,0.014651874725086115,0.01414822635696864,0.021624491725022628,0.0005036483681174746,0.6775592652719694
baseline,E0_N40,0,938,219953,10,0.2449297603535717,0.1361479201913866,0.20000726355525186,0.10878184016218509,1.2246043268619093
baseline,E0_N40,469,0,219934,15,0.2725282911642397,0.14819275390336395,0.2388563746877002,0.12433553726087576,1.1409713955533523
baseline,E0_N40,469,469,219941,10,0.22627358284201027,0.08555221261993493,0.14329604641159568,0.14072137022207534,1.579063683251068
baseline,E0_N40,469,938,219943,13,0.14632670566711972,0.03794387618467322,0.06468772232061289,0.1083828294824465,2.2620475790116417
baseline,E0_N40,938,0,219942,8,0.014566264704683609,0.005666653883261141,0.010595474032550983,0.008899610821422467,1.3747629091377813
baseline,E0_N40,938,469,219441,5,0.2413132358738248,0.16607211861405513,0.24729791511340238,0.07524111725976967,0.9757997181786462
baseline,E0_N40,938,938,219947,5,0.13900447757751155,0.060371278140169946,0.09207486139720326,0.07863319943734161,1.5096897835974779
a1,E0_N40,0,0,219938,6,0.08228182278281708,0.057950019704574154,0.10016005527542411,0.024331803078242925,0.8215033683493409
a1,E0_N40,0,469,219945,6,0.06306558854213784,0.013715662006593682,0.02475322710694055,0.04934992653554416,2.5477723882093297
a1,E0_N40,0,938,219953,10,0.15077588699043648,0.09408463963609465,0.1495981036945758,0.056691247354341834,1.0078729827903787
a1,E0_N40,469,0,219934,15,0.14167145869937184,0.1032512116600696,0.15622698316385708,0.03842024703930223,0.9068309188994654
a1,E0_N40,469,469,219941,10,0.0429097139283842,0.01708214915572037,0.025089318901470134,0.02582756477266383,1.7102781505108877
a1,E0_N40,469,938,219943,13,0.13346638583483017,0.043191799870972374,0.0746418947905164,0.09027458596385779,1.7880894665041072
a1,E0_N40,938,0,219942,8,0.05916414992665065,0.025676361169196665,0.03807106283281399,0.033487788757453986,1.5540451336088321
a1,E0_N40,938,469,219441,5,0.1810293923293051,0.13892878592241614,0.20268180387674123,0.04210060640688895,0.8931704221430562
a1,E0_N40,938,938,219947,5,0.08527466558701434,0.04469578469131853,0.07069468609528985,0.04057888089569581,1.206238690586617
baseline,E0_N44,0,0,219954,3,0.07048275924321314,0.03425137909453978,0.05729591538624813,0.03623138014867336,1.230153297457048
baseline,E0_N44,0,469,219951,7,0.1516730724227444,0.06443405990869452,0.10781315264502314,0.08723901251404986,1.406814184556228
baseline,E0_N44,0,938,219945,9,0.14746741243723469,0.05305271012861997,0.10258595407177931,0.0944147023086147,1.4375010085108908
baseline,E0_N44,469,0,219950,6,0.06931608785836288,0.03894911305331415,0.06349848745048793,0.030366974805048727,1.0916179367644172
baseline,E0_N44,469,469,219949,3,0.2323369086459194,0.11106522347458432,0.19477126829182564,0.12127168517133509,1.192870543399703
baseline,E0_N44,469,938,219943,5,0.01253439307263594,0.0049149212400051365,0.009096219025878925,0.007619471832630804,1.3779783706807567
baseline,E0_N44,938,0,219949,8,0.0734272555830728,0.02824622543785683,0.04051993495950122,0.04518103014521596,1.812126689158354
baseline,E0_N44,938,469,219947,7,0.18757280599817272,0.028134600705710465,0.06029788540022935,0.15943820529246225,3.1107692210622573
baseline,E0_N44,938,938,219939,10,0.13695091187564346,0.02234563817309828,0.048543434976523726,0.11460527370254517,2.8212035662881045
a1,E0_N44,0,0,219954,3,0.03397488712399646,0.008074222151348388,0.014551050447011162,0.025900664972648074,2.3348752207078647
a1,E0_N44,0,469,219951,7,0.2607562587398295,0.04778523097480902,0.07295560302256815,0.21297102776502047,3.574177279559555
a1,E0_N44,0,938,219945,9,0.08417797088530486,0.03719159104813749,0.05413834809519388,0.04698637983716737,1.5548677388030194
a1,E0_N44,469,0,219950,6,0.026493944931259557,0.012559179861225404,0.019651747368049127,0.013934765070034154,1.34817247723909
a1,E0_N44,469,469,219949,3,0.2546773876695945,0.13902984773413177,0.2199161200775023,0.11564753993546276,1.158066027992135
a1,E0_N44,469,938,219943,5,0.024285818435446825,0.0035237598187779252,0.0074425507980190545,0.0207620586166689,3.2631041553536804
a1,E0_N44,938,0,219949,8,0.06368338179896825,0.02367436372141301,0.04366697885628869,0.04000901807755524,1.4583876298966103
a1,E0_N44,938,469,219947,7,0.04290506168444553,0.008756584839765718,0.01747136759278989,0.03414847684467981,2.4557357319956825
a1,E0_N44,938,938,219939,10,0.06663726148779996,0.018018241906556178,0.03444834386390078,0.048619019581243775,1.934411179564156
baseline,E12_N44,0,0,219947,9,0.44186722989783433,0.1824132356849116,0.21867175102886327,0.2594539942129227,2.0206872987426285
baseline,E12_N44,0,469,169525,12,0.2640486485540194,0.1302420741154371,0.22465469949502992,0.1338065744385823,1.1753533273398582
baseline,E12_N44,0,938,219946,11,0.3124771430481329,0.09087341453074863,0.117158244840382,0.22160372851738427,2.6671374556170253
baseline,E12_N44,469,0,219910,11,0.15941892722677947,0.045065231618789225,0.06398396327919928,0.11435369560799025,2.4915450537370103
baseline,E12_N44,469,469,168663,16,0.6428755530060795,0.21605082664698455,0.3558582434409681,0.4268247263590949,1.8065495597061347
baseline,E12_N44,469,938,215654,5,0.06265306150075488,0.014406041054882615,0.027803737499203174,0.048247020445872264,2.2534042951078233
baseline,E12_N44,938,0,219944,11,0.08061720521954505,0.031133429871868616,0.06341114752031096,0.04948377534767643,1.271341213210546
baseline,E12_N44,938,469,218993,24,0.2612198338416314,0.10597588861154017,0.16386334359486576,0.15524394523009122,1.5941322086498426
baseline,E12_N44,938,938,219592,15,0.20665732893315628,0.046006865778464176,0.07939751182645353,0.1606504631546921,2.602818705262027
a1,E12_N44,0,0,219947,9,0.29142882203340126,0.09994661493839468,0.14700414436141732,0.19148220709500657,1.9824531022534193
a1,E12_N44,0,469,169525,12,0.3327284916329857,0.13481118831679184,0.20106276914447904,0.19791730331619384,1.6548488466996827
a1,E12_N44,0,938,219946,11,0.23957305358115388,0.10148586639582464,0.15036730218354288,0.13808718718532925,1.5932523234920033
a1,E12_N44,469,0,219910,11,0.17349633770158032,0.04081708966644128,0.07322617188189184,0.13267924803513903,2.3693214221469407
a1,E12_N44,469,469,168663,16,0.6124828373118589,0.20227578954883088,0.36491138467052125,0.4102070477630281,1.6784426659224954
a1,E12_N44,469,938,215654,5,0.031239757087071395,0.023690837799222073,0.03960277492707507,0.007548919287849322,0.7888274784935294
a1,E12_N44,938,0,219944,11,0.11408551502192721,0.03457765126951578,0.08072472998298127,0.07950786375241142,1.4132659848596483
a1,E12_N44,938,469,218993,24,0.30994448532549296,0.10288466565172849,0.15116868771532724,0.20705981967376447,2.0503219946525153
a1,E12_N44,938,938,219592,15,0.09065198061114628,0.029473235242814616,0.040185463855824194,0.06117874536833166,2.2558400952240802
baseline,E16_N44,0,0,219948,7,0.34143081849822365,0.12199858600705508,0.19170633502265585,0.21943223249116856,1.7810095762243505
baseline,E16_N44,0,469,219951,7,0.16914518158261682,0.045857332100726046,0.08335858986739807,0.12328784948189078,2.0291271943501323
baseline,E16_N44,0,938,219957,8,0.02714887511102561,0.022277588814595496,0.04428127824433138,0.0048712862964301155,0.6131005288787265
baseline,E16_N44,469,0,219950,5,0.1467310874870023,0.04339756781386672,0.07563362536309463,0.10333351967313559,1.9400245166430912
baseline,E16_N44,469,469,219952,8,0.3744835796042102,0.16080611754458446,0.24134373696825767,0.21367746205962573,1.5516606492815825
baseline,E16_N44,469,938,219946,9,0.13100908323455035,0.042338288707500255,0.0758628431995336,0.0886707945270501,1.7269202907406427
baseline,E16_N44,938,0,219945,8,0.0569636431612013,0.018564963854453935,0.029391005029625307,0.03839867930674736,1.9381318571373638
baseline,E16_N44,938,469,219744,12,0.2800039506887755,0.09437223487496849,0.13657174559292234,0.185631715813807,2.05023337347814
baseline,E16_N44,938,938,219950,8,0.1425793667394097,0.025639162243376645,0.040100212849363125,0.11694020449603307,3.5555763076622715
a1,E16_N44,0,0,219948,7,0.2910426583882773,0.14828641314234806,0.19810840120873421,0.14275624524592925,1.469108107543729
a1,E16_N44,0,469,219951,7,0.10001578247595899,0.05182961745652226,0.07212650641444035,0.04818616501943673,1.38667166133441
a1,E16_N44,0,938,219957,8,0.07113488028026368,0.04169420672456974,0.06574815899952949,0.029440673555693943,1.0819296138888503
a1,E16_N44,469,0,219950,5,0.16973745888642122,0.027550974107478164,0.059693723653379216,0.14218648477894305,2.8434724540226015
a1,E16_N44,469,469,219952,8,0.29753557730693003,0.136076712002773,0.22756304223091792,0.16145886530415704,1.307486375599637
a1,E16_N44,469,938,219946,9,0.13947265511305793,0.054077340038736744,0.09722331259774178,0.08539531507432119,1.434559792157272
a1,E16_N44,938,0,219945,8,0.053779512707349396,0.02329803154522829,0.034969618812103906,0.030481481162121106,1.537892448765695
a1,E16_N44,938,469,219744,12,0.17180237981821828,0.052126848745936906,0.07919975488813126,0.11967553107228138,2.169228680832247
a1,E16_N44,938,938,219950,8,0.14245251968685252,0.024654123158786456,0.03807974629443961,0.11779839652806606,3.7408999152826126
baseline,E4_N32,0,0,219645,10,0.13237523291913234,0.060771530884559145,0.09069414784007065,0.0716037020345732,1.4595785513367607
baseline,E4_N32,0,469,219939,14,0.1749346729627896,0.041324363119066766,0.07502191002075044,0.13361030984372285,2.3317811145357954
baseline,E4_N32,0,938,219827,15,0.116752410599553,0.02783869185891195,0.059845994112741774,0.08891371874064105,1.9508809625521004
baseline,E4_N32,469,0,218604,14,0.05106014089665508,0.030599363029705194,0.04906566179609985,0.020460777866949886,1.0406491837171912
baseline,E4_N32,469,469,219943,8,0.029537373685772347,0.03440674793797316,0.0449485441087096,-0.0048693742522008115,0.6571374951396689
baseline,E4_N32,469,938,219944,9,0.1228904767880973,0.024855921415953254,0.05560885199511689,0.09803455537214403,2.2099085375632015
baseline,E4_N32,938,0,219944,11,0.0739936993175566,0.03054435294202993,0.05232505881186801,0.04344934637552667,1.4141159321692698
baseline,E4_N32,938,469,219939,4,0.044403179246207077,0.03474077555032988,0.05234377188981203,0.009662403695877196,0.8482991890549929
baseline,E4_N32,938,938,219942,7,0.11402424773429226,0.05668142117250293,0.07989189903654523,0.05734282656178933,1.427231660648519
a1,E4_N32,0,0,219645,10,0.21650437791452937,0.05060202508610336,0.08873103050864962,0.165902352828426,2.440007477355109
a1,E4_N32,0,469,219939,14,0.07223399832225913,0.03173111118025128,0.04457835716124029,0.04050288714200785,1.620382690662829
a1,E4_N32,0,938,219827,15,0.20301373456961508,0.02806932011862199,0.05856512169929762,0.1749444144509931,3.466461413876817
a1,E4_N32,469,0,218604,14,0.07435334767736182,0.03169621291806859,0.05019760799292977,0.04265713475929323,1.4812129631323137
a1,E4_N32,469,469,219943,8,0.008460276907985792,0.030132173357424012,0.043851531429531534,-0.02167189644943822,0.19293002164773365
a1,E4_N32,469,938,219944,9,0.08127743931764009,0.018376745139970826,0.03226367575870642,0.06290069417766926,2.5191624142734943
a1,E4_N32,938,0,219944,11,0.07313747480805104,0.034541957077239824,0.05331427227612071,0.03859551773081121,1.3718179332780478
a1,E4_N32,938,469,219939,4,0.054461351603156474,0.060397078150497996,0.09164185246449996,-0.005935726547341522,0.5942847087716129
a1,E4_N32,938,938,219942,7,0.06468536195884343,0.040234722561773975,0.06587970243507993,0.024450639397069457,0.9818708884210059
baseline,E4_N36,0,0,219599,13,0.09356446238370955,0.04136739230855619,0.05427974309588604,0.05219707007515336,1.723745490438789
baseline,E4_N36,0,469,219825,12,0.16960868347117905,0.04837460044659973,0.07448497486144098,0.12123408302457932,2.2770858657962876
baseline,E4_N36,0,938,219290,9,0.41534792165245266,0.1969673936095701,0.25501893368625767,0.21838052804288255,1.628694448873522
baseline,E4_N36,469,0,219778,20,0.12115713537015367,0.03202962471326627,0.051258017715549525,0.0891275106568874,2.3636718852941456
baseline,E4_N36,469,469,219739,11,0.15081423388092022,0.01824843597079632,0.026471409765360263,0.1325657979101239,5.697249795825814
baseline,E4_N36,469,938,219714,15,0.23249622034914483,0.07730171865870145,0.12392645769921001,0.15519450169044338,1.8760821915321066
baseline,E4_N36,938,0,219806,14,0.2722652004770549,0.09107474832861819,0.13708862487288634,0.1811904521484367,1.986052458615799
baseline,E4_N36,938,469,219840,11,0.059289737048304085,0.03239687258361046,0.04869894883346046,0.026892864464693626,1.217474677966084
baseline,E4_N36,938,938,219592,13,0.18462158646640905,0.09453455600052037,0.14759962686209618,0.09008703046588869,1.2508269186811891
a1,E4_N36,0,0,219599,13,0.049206977014363405,0.04178904196250066,0.05783018587222035,0.007417935051862744,0.8508874089232481
a1,E4_N36,0,469,219825,12,0.18583149394735432,0.07810643257955178,0.11623631966577733,0.10772506136780254,1.5987386256007503
a1,E4_N36,0,938,219290,9,0.38114782030820216,0.17671498526620452,0.23635598715930212,0.20443283504199763,1.6126006575467515
a1,E4_N36,469,0,219778,20,0.09925337665953751,0.022092831787480397,0.04057292938604214,0.07716054487205712,2.446295551281603
a1,E4_N36,469,469,219739,11,0.18940178661434104,0.027578613424549748,0.047388133819474834,0.16182317318979128,3.996818852075235
a1,E4_N36,469,938,219714,15,0.15268355161890176,0.050478719578565714,0.07688989564347533,0.10220483204033605,1.9857427343492315
a1,E4_N36,938,0,219806,14,0.07757528488801764,0.039917184894117566,0.050061596539613756,0.037658099993900074,1.549596701867714
a1,E4_N36,938,469,219840,11,0.2182773735665,0.060526164558009854,0.0926453767492296,0.15775120900849016,2.356052522268092
a1,E4_N36,938,938,219592,13,0.1568357667908896,0.026982705972802983,0.03893370862339361,0.12985306081808662,4.0282770980788
baseline,E4_N40,0,0,219949,16,0.21510854375109864,0.03878106077592935,0.06452484232599309,0.1763274829751693,3.333732187431392
baseline,E4_N40,0,469,219945,9,0.18931316807516246,0.04859542114458668,0.08706433647245332,0.1407177469305758,2.174405454006534
baseline,E4_N40,0,938,219949,7,0.08289092507455563,0.07437762456520543,0.14406905290438252,0.008513300509350202,0.5753555215606899
baseline,E4_N40,469,0,219942,12,0.3459298818923655,0.07402244577543585,0.11816805402515085,0.2719074361169297,2.9274399476760267
baseline,E4_N40,469,469,219938,8,0.031829746412444855,0.013686398377245657,0.024038743368155792,0.018143348035199198,1.3241019268340721
baseline,E4_N40,469,938,219950,6,0.060292113466328096,0.04220689298061085,0.08564331543360353,0.018085220485717243,0.7039908854657853
baseline,E4_N40,938,0,219943,9,0.19906939377198346,0.10323460433661209,0.12475889787136055,0.09583478943537137,1.5956328339582224
baseline,E4_N40,938,469,219931,12,0.15635481360159953,0.04026127383205388,0.06714981921453694,0.11609353976954565,2.3284472755177728
baseline,E4_N40,938,938,219929,16,0.44542622100633633,0.18521977272015205,0.2755118357058053,0.2602064482861843,1.6167226350376018
a1,E4_N40,0,0,219949,16,0.2278015631948541,0.042845240537598736,0.06608018185715854,0.18495632265725537,3.4473507304698208
a1,E4_N40,0,469,219945,9,0.18957675615000444,0.03776138683764564,0.06280770232933018,0.15181536931235878,3.0183679567828285
a1,E4_N40,0,938,219949,7,0.16308528873055458,0.096935680685198,0.13596849671950265,0.06614960804535658,1.199434373882891
a1,E4_N40,469,0,219942,12,0.22734593188530075,0.09811960536995643,0.1432384772544135,0.12922632651534433,1.587184786120698
a1,E4_N40,469,469,219938,8,0.02941524931914917,0.019521367038182243,0.03595181149753136,0.009893882280966926,0.8181854569739546
a1,E4_N40,469,938,219950,6,0.04994861706479484,0.04036406993971141,0.09250190581356983,0.009584547125083429,0.5399739240558163
a1,E4_N40,938,0,219943,9,0.1735837989388772,0.04664242308184093,0.07697308110211579,0.12694137585703627,2.255123433458426
a1,E4_N40,938,469,219931,12,0.12204500099583585,0.030915697354665744,0.052473048293831315,0.0911293036411701,2.325860703049404
a1,E4_N40,938,938,219929,16,0.3246123270231812,0.1395442715111638,0.2280353605099427,0.1850680555120174,1.4235175031506906
baseline,E4_N44,0,0,219947,11,0.32894730042349746,0.1251851312890056,0.18336304129302095,0.20376216913449186,1.793967301719366
baseline,E4_N44,0,469,219955,3,0.12020888157613113,0.02195261135574568,0.03839440791868085,0.09825627022038545,3.130895567675712
baseline,E4_N44,0,938,205026,8,0.22930104861127912,0.11720850155881349,0.1748601177842672,0.11209254705246563,1.3113398956655065
baseline,E4_N44,469,0,219953,17,0.36287585309040843,0.1478350882339307,0.22832708158320653,0.21504076485647772,1.5892808271986338
baseline,E4_N44,469,469,219947,11,0.33701637789899214,0.06371538068787051,0.1274185943138706,0.2733009972111216,2.6449544488681043
baseline,E4_N44,469,938,205176,8,0.32488056680286526,0.1386403762444242,0.20249783211268912,0.18624019055844104,1.604365653762015
baseline,E4_N44,938,0,219932,21,0.34651734731539585,0.09816402403878242,0.1388358360236771,0.2483533232766134,2.4958782778266317
baseline,E4_N44,938,469,219951,17,0.09004259516579996,0.02292616885979326,0.037643564938266316,0.0671164263060067,2.3919784248241527
baseline,E4_N44,938,938,219836,7,0.2728696740001752,0.10773999795230978,0.15599191966509085,0.16512967604786544,1.7492551831275414
a1,E4_N44,0,0,219947,11,0.17990074972251988,0.04460106600334084,0.07551416786506546,0.13529968371917903,2.382344330986742
a1,E4_N44,0,469,219955,3,0.10600906328321717,0.027995558650266983,0.051393639566850266,0.07801350463295019,2.06268838277791
a1,E4_N44,0,938,205026,8,0.12107033235281485,0.05803622796728412,0.09048239230107243,0.06303410438553073,1.338054059733121
a1,E4_N44,469,0,219953,17,0.1530723253763226,0.042195504407223,0.07934341860405845,0.1108768209690996,1.9292378381146897
a1,E4_N44,469,469,219947,11,0.4296778664872856,0.06210257465359217,0.11738061984789902,0.3675752918336935,3.6605520318776574
a1,E4_N44,469,938,205176,8,0.2581188135330016,0.056344495003909846,0.1115940995233314,0.20177431852909175,2.313014887306257
a1,E4_N44,938,0,219932,21,0.14309623567803934,0.06991876693156222,0.09885290873873301,0.07317746874647711,1.4475672744869945
a1,E4_N44,938,469,219951,17,0.07793867333561398,0.008823310035654024,0.015281531266223818,0.06911536329995996,5.100187407781499
a1,E4_N44,938,938,219836,7,0.04782805980320856,0.013265483430293601,0.020957919321211688,0.03456257637291496,2.2820996240214253
baseline,E8_N32,0,0,219937,13,0.05781744571297892,0.029259604317317688,0.05269693712240216,0.028557841395661233,1.097168998241455
baseline,E8_N32,0,469,219938,14,0.04363578447617011,0.025467301359110434,0.03593625544463524,0.018168483117059674,1.2142551842497074
baseline,E8_N32,0,938,219942,13,0.038786811876209554,0.017816240118293483,0.027162395683102025,0.02097057175791607,1.4279599019441125
baseline,E8_N32,469,0,219934,17,0.10412166418914091,0.06440077748847424,0.07760832984620986,0.039720886700666674,1.341630007957527
baseline,E8_N32,469,469,219937,12,0.1624776772741749,0.06855673594646176,0.09907364988778411,0.09392094132771313,1.6399686239298283
baseline,E8_N32,469,938,219944,8,0.06124009244518481,0.031136125149122607,0.05035718008774011,0.0301039672960622,1.2161144118571134
baseline,E8_N32,938,0,219928,14,0.07513776296262101,0.04650617424636701,0.06664070036902324,0.028631588716254,1.1275056016300136
baseline,E8_N32,938,469,219940,10,0.09299202365754083,0.03213699830293349,0.04928718029127115,0.060855025354607344,1.8867385617920993
baseline,E8_N32,938,938,219941,6,0.2891884061910699,0.07505347126673724,0.1159366016879096,0.21413493492433266,2.494366765808246
a1,E8_N32,0,0,219937,13,0.07104852448458476,0.028878839782273923,0.04666561493863813,0.04216968470231084,1.5225026945001878
a1,E8_N32,0,469,219938,14,0.03903461640103472,0.01714850306302549,0.02906381450944086,0.02188611333800923,1.343065838393478
a1,E8_N32,0,938,219942,13,0.035927955482068834,0.018777036831003992,0.030647536708138887,0.017150918651064842,1.1722950468814564
a1,E8_N32,469,0,219934,17,0.13959136743742026,0.06673236851370208,0.08575199138131098,0.07285899892371818,1.6278498631793077
a1,E8_N32,469,469,219937,12,0.1767204918278985,0.05450193981525435,0.07083737719126698,0.12221855201264416,2.4947351078617443
a1,E8_N32,469,938,219944,8,0.04748838970106036,0.022065119464462737,0.041282301145603384,0.025423270236597625,1.1503329122465338
a1,E8_N32,938,0,219928,14,0.07915822494378862,0.04206068761185866,0.061465882422557336,0.037097537331929956,1.2878400475828584
a1,E8_N32,938,469,219940,10,0.08659694728893054,0.025084358642275,0.06550249235492989,0.06151258864665554,1.3220404930502316
a1,E8_N32,938,938,219941,6,0.2890240135755892,0.07181701170458496,0.12469622093713459,0.21720700187100425,2.317824962163851
baseline,E8_N36,0,0,219943,10,0.15607734581931143,0.05225405691425115,0.09490847682878407,0.10382328890506029,1.6445037475511979
baseline,E8_N36,0,469,219940,13,0.10638776707989708,0.04512431506632022,0.07122429788029748,0.061263452013576865,1.4937004680438801
baseline,E8_N36,0,938,219946,12,0.41206275608651977,0.0990887248207702,0.18157063408562926,0.3129740312657496,2.2694350226930955
baseline,E8_N36,469,0,219956,12,0.1633022537269206,0.04645257243815806,0.06281239492232829,0.11684968128876252,2.5998412244725695
baseline,E8_N36,469,469,219954,11,0.01431365125891187,0.011495402488985017,0.01944377144726341,0.002818248769926852,0.7361561154806944
baseline,E8_N36,469,938,219948,9,0.2712481378443407,0.12152004096644245,0.1637729729750687,0.14972809687789826,1.6562448181583236
baseline,E8_N36,938,0,219930,13,0.2826528910674202,0.10508715669014268,0.17646650954237364,0.17756573437727752,1.6017367363383406
baseline,E8_N36,938,469,219955,5,0.048360156036443676,0.01879979289783166,0.02848710452900623,0.029560363138612017,1.697615704930708
baseline,E8_N36,938,938,219946,7,0.5446449797216024,0.22221481681443564,0.3135209749813606,0.32243016290716675,1.7371883324679713
a1,E8_N36,0,0,219943,10,0.08132896121517988,0.01950392169186658,0.030565862360415287,0.0618250395233133,2.6607775778152427
a1,E8_N36,0,469,219940,13,0.4298759845091472,0.13241721722163496,0.21650488106575497,0.29745876728751225,1.9855256029012531
a1,E8_N36,0,938,219946,12,0.13412335530100825,0.016369896684272123,0.0358671997197605,0.11775345861673613,3.739443177860216
a1,E8_N36,469,0,219956,12,0.1224587516209221,0.03455950872388715,0.05352207548957929,0.08789924289703495,2.2880045383285768
a1,E8_N36,469,469,219954,11,0.16379878794558483,0.023653857398481425,0.032389093648488326,0.14014493054710342,5.057220486724849
a1,E8_N36,469,938,219948,9,0.2821039212271758,0.11813806082586734,0.16135766702079993,0.16396586040130848,1.7483143282606521
a1,E8_N36,938,0,219930,13,0.32085769889375976,0.07864266303837468,0.1194902737568783,0.24221503585538506,2.6852202175600923
a1,E8_N36,938,469,219955,5,0.09314437303916728,0.032419170020862635,0.057373648729748414,0.06072520301830465,1.6234695736001123
a1,E8_N36,938,938,219946,7,0.7056170550776121,0.30575584609009543,0.4285060250507907,0.39986120898751665,1.6466910937692778
baseline,E8_N40,0,0,216168,8,0.13328364178004265,0.11193994792154405,0.15804131328669774,0.021343693858498602,0.8433468376604605
baseline,E8_N40,0,469,219952,7,0.19250115375011964,0.08711464772979169,0.13628218163693567,0.10538650602032795,1.4125188739857046
baseline,E8_N40,0,938,219936,12,0.08500081496257773,0.051742173381915404,0.08230546683918165,0.03325864158066233,1.032748105647254
