obs_id,n,label_mean,mosaic_pred,mosaic_ratio,h1only_pred,h1only_ratio,resid_pred,resid_ratio,pfree_pred,pfree_ratio,full_pred,full_ratio
ESP_017355_2260,13457,0.022253035710968268,0.030061802269910426,1.350907923771196,0.026837068470954874,1.2059958389284924,0.06536967796499213,2.937562264045267,0.021274859139871212,0.9560430053767934,0.2932421863079071,13.177626195214856
ESP_042964_2160,2564,0.0027667950468018717,0.0031083415059634865,1.1234447992656367,0.009225136615087434,3.3342320117822735,0.008136134099571814,2.940634908601684,0.011326526710808906,4.093735357774764,0.0,0.0
ESP_045139_2270,6293,0.02085229868504688,0.043732250456986144,2.0972388280792473,0.048176412831461735,2.31036460579806,0.04183234827041858,2.0061264660675726,0.028943559390770788,1.388027278331963,0.28555390556178184,13.694121203364102
ESP_045390_2215,2538,0.00393604708431836,0.003757866459693336,0.954731073890118,0.008533925591151006,2.1681462158191893,0.009278976583939115,2.357435362221038,0.013800085555363268,3.5060773562248047,0.05590931371781297,14.204432142227606
ESP_045878_2235,7313,0.0015171024630794476,0.0008574865381700187,0.5652133320181116,0.01432789208905456,9.444248122813995,0.017412260732915817,11.477313600540883,0.020233046840313525,13.336638317259103,0.059319701876466346,39.10065623125937
ESP_045983_2270,2468,0.004867792114059967,0.002007760726395589,0.41245819035624803,0.016301961566530607,3.3489436657421274,0.009659288406971694,1.984326401095094,0.004608270579484304,0.9466859864812077,0.2931004531283046,60.21219605531697
ESP_046959_2225,4156,0.009166848381857558,0.010626062319440995,1.1591838194325783,0.017623680617214692,1.9225452285317992,0.013145619110989253,1.4340391117416347,0.019635354331840903,2.141996192573878,0.09100326792407813,9.92743243186895
ESP_051943_2270,2711,0.002342654924382147,0.0019799666559625097,0.8451806688877609,0.0023627250016749883,1.0085672358672861,0.0020613568311679278,0.8799233765560206,0.000551937415879364,0.2356033789419209,0.15977797024323026,68.20380098676726
ESP_052576_2250,4755,0.010417882492113565,0.011870095531133834,1.1393961815291742,0.01694871390846769,1.626886646235262,0.011405273181223667,1.0947784436863792,0.013194537805924155,1.2665278012026477,0.16184516691149348,15.535322752393473
ESP_054000_2255,3535,0.006767072577793493,0.005744401004608431,0.8488753354676567,0.004513473428836928,0.6669757678745948,0.0024195567557718073,0.3575485156922524,0.0009725579224318652,0.1437191505265313,0.11953461239960103,17.66415403787159
ESP_055055_2255,4397,0.0020747189134637254,0.0018423731715651861,0.888010978069969,0.00718517951468629,3.4632062531741683,0.0013325592758507223,0.6422842473759619,0.00214982035842657,1.0361983710060576,0.06607742227598253,31.84885520982061
ESP_055253_2245,2596,0.002312180999614792,0.0017862913447475955,0.7725568824608413,0.010849512393201305,4.692328323348746,0.009912581811273939,4.287113254942138,0.013849363527728108,5.989740219314752,0.052560894367448666,22.73217121678851
ESP_055978_2270,5487,0.0007707350897576088,0.001425857906601072,1.8499973928130027,0.015131028893203256,19.631945001961526,0.008964136633039245,11.630632563853306,0.004277347052179268,5.54969808566062,0.29309684176664,380.28220806557164
ESP_059421_2170,4570,0.002141838758205689,0.0011916725121907433,0.5563782556577971,0.007488936499600921,3.496498730779682,0.004114149502702604,1.9208493108739917,0.0014526538018386375,0.6782274325148493,0.0,0.0
ESP_063429_2240,2102,0.0189581351094196,0.012446816009615403,0.6565422146100772,0.017577180827094266,0.9271576938156123,0.015702074855237964,0.828249971034133,0.025578926341070063,1.3492321999731312,0.08872028105545764,4.679800019537565
ESP_064510_2260,4503,0.008302971630024428,0.012416475812307324,1.4954255374555332,0.018470678785481816,2.2245865225758306,0.011552962876549505,1.3914250694019914,0.005547665420417155,0.6681542064236625,0.2895734517965586,34.87588115433638
ESP_068402_2240,5936,0.004693152743851079,0.003606722795506087,0.7685074388920281,0.009462962237806261,2.016333742856449,0.00890759802532907,1.8979987465781323,0.014862099990282492,3.166762473212632,0.0663991340583051,14.148087156400475
ESP_069669_2220,4428,0.001213081173780488,0.0009749416204223384,0.8036903395211359,0.002881018251262104,2.3749591647553143,0.00811354939243375,6.688381262358894,0.03306188442570375,27.25446997307571,0.008674520443492751,7.150816145682301
ESP_071699_2260,3012,0.014708276269920318,0.019624850507943787,1.334272633162207,0.01738865418019426,1.1822360323592467,0.018663755387794734,1.2689288020761282,0.009441572804668877,0.6419224545011913,0.284910146245958,19.370736653119824
ESP_076565_2215,2449,0.004763934258881176,0.004237761606397104,0.8895508157982757,0.012187022918012626,2.558184528951662,0.00934496728843658,1.961607104677232,0.012166037703656069,2.553779511330473,0.05075180729247992,10.6533391383111
ESP_076723_2265,6336,0.018212292603772096,0.02261841609503326,1.2419312926231252,0.026805772239570598,1.4718505145265806,0.02094126408444527,1.1498422818062979,0.012059606399895926,0.6621684958761405,0.2733104586203799,15.006922223716762
