row,n_windows,eta2_median,eta2_p90,null_mean_median,null_p95_median,excess_median,ratio_median,frac_windows_below_bar,passes_bar,tile_eta2_median,tile_excess_median,tile_ratio_median
F_full,234,0.0711,0.19959200000000002,0.03379,0.05949,0.030834999999999994,1.2230346148219366,0.41025641025641024,False,0.17914606814177653,0.049988071974009965,1.2439699999631617
F_h1only,234,0.15093499999999999,0.345635,0.06011,0.09717999999999999,0.08758,1.470954969011852,0.1452991452991453,False,0.20018607750651624,0.08168887283654483,1.2941837266211214
F_pfree,234,0.08728,0.24528200000000006,0.05019,0.08266499999999999,0.03870499999999999,1.171965959020262,0.24358974358974358,False,0.1765645512241168,0.0324718441076011,1.0270393088216547
F_resid,234,0.08875,0.2081770000000001,0.048585,0.07677999999999999,0.033835000000000004,1.1349649889021924,0.2692307692307692,False,0.1580875551636662,0.023322071911599004,1.006798560452003
mosaic,234,0.120535,0.27523600000000004,0.042225,0.07001,0.07080000000000002,1.527551104572662,0.21794871794871795,False,0.18037860889434482,0.09005304717357696,1.5367735594812735
