row,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
mosaic,E4_N32,938,469,219948,4,0.02885,0.0343,0.05557,-0.00545,0.5191
mosaic,E4_N32,938,938,219946,8,0.10312,0.05549,0.07671,0.04763,1.3442
mosaic,E4_N36,0,0,219936,13,0.05505,0.03288,0.04509,0.02217,1.2208
mosaic,E4_N36,0,469,219942,11,0.14113,0.04893,0.07246,0.0922,1.9477
mosaic,E4_N36,0,938,219951,9,0.33574,0.15688,0.1963,0.17886,1.7104
mosaic,E4_N36,469,0,219928,20,0.08435,0.02687,0.04558,0.05748,1.8508
mosaic,E4_N36,469,469,219927,11,0.14631,0.01977,0.03128,0.12654,4.6775
mosaic,E4_N36,469,938,219938,15,0.21762,0.0925,0.1363,0.12512,1.5967
mosaic,E4_N36,938,0,219932,14,0.26855,0.09083,0.13267,0.17772,2.0242
mosaic,E4_N36,938,469,219939,10,0.08309,0.02374,0.03596,0.05935,2.3108
mosaic,E4_N36,938,938,219938,13,0.18393,0.06978,0.12519,0.11414,1.4692
mosaic,E4_N40,0,0,219940,15,0.1808,0.04286,0.06474,0.13794,2.7926
mosaic,E4_N40,0,469,219948,9,0.11521,0.03256,0.05288,0.08265,2.1786
mosaic,E4_N40,0,938,219946,7,0.0813,0.08393,0.15013,-0.00263,0.5415
mosaic,E4_N40,469,0,219946,13,0.31091,0.07598,0.13044,0.23493,2.3836
mosaic,E4_N40,469,469,219947,8,0.02876,0.01262,0.02157,0.01613,1.3331
mosaic,E4_N40,469,938,219944,6,0.06348,0.03641,0.06337,0.02707,1.0017
mosaic,E4_N40,938,0,219938,9,0.13471,0.07304,0.09075,0.06167,1.4844
mosaic,E4_N40,938,469,219940,12,0.13475,0.03627,0.06205,0.09847,2.1717
mosaic,E4_N40,938,938,219930,16,0.41028,0.18382,0.26056,0.22646,1.5746
mosaic,E4_N44,0,0,219946,11,0.27564,0.10201,0.15072,0.17363,1.8288
mosaic,E4_N44,0,469,219955,3,0.08916,0.01967,0.03114,0.06949,2.8632
mosaic,E4_N44,0,938,219942,8,0.22182,0.11645,0.15861,0.10537,1.3985
mosaic,E4_N44,469,0,219950,17,0.21322,0.07775,0.13797,0.13547,1.5455
mosaic,E4_N44,469,469,219945,11,0.29408,0.0665,0.10633,0.22758,2.7656
mosaic,E4_N44,469,938,219950,8,0.31376,0.12382,0.17669,0.18994,1.7758
mosaic,E4_N44,938,0,219926,20,0.23746,0.06239,0.08841,0.17508,2.686
mosaic,E4_N44,938,469,219956,16,0.05477,0.01446,0.02227,0.04031,2.4598
mosaic,E4_N44,938,938,219953,8,0.18172,0.07609,0.10315,0.10564,1.7617
mosaic,E8_N32,0,0,219943,13,0.07883,0.04925,0.08585,0.02959,0.9183
mosaic,E8_N32,0,469,219940,16,0.0346,0.02231,0.03265,0.01229,1.0597
mosaic,E8_N32,0,938,219937,13,0.03874,0.02334,0.03528,0.0154,1.0979
mosaic,E8_N32,469,0,219933,17,0.09286,0.05827,0.0676,0.03459,1.3736
mosaic,E8_N32,469,469,219941,13,0.18241,0.07884,0.11017,0.10357,1.6557
mosaic,E8_N32,469,938,219945,7,0.05292,0.02448,0.04482,0.02844,1.1808
mosaic,E8_N32,938,0,219944,13,0.05358,0.03792,0.05741,0.01565,0.9332
mosaic,E8_N32,938,469,219938,9,0.11707,0.02471,0.04053,0.09236,2.8887
mosaic,E8_N32,938,938,219949,6,0.27387,0.07297,0.11948,0.2009,2.2921
mosaic,E8_N36,0,0,219940,10,0.12943,0.04304,0.07531,0.08639,1.7185
mosaic,E8_N36,0,469,219939,12,0.14038,0.06034,0.08505,0.08004,1.6506
mosaic,E8_N36,0,938,219940,12,0.45658,0.13105,0.20169,0.32553,2.2637
mosaic,E8_N36,469,0,219951,12,0.13009,0.02004,0.0348,0.11005,3.7382
mosaic,E8_N36,469,469,219952,11,0.01262,0.01006,0.01647,0.00256,0.7661
mosaic,E8_N36,469,938,219936,10,0.38461,0.17702,0.22694,0.20759,1.6948
mosaic,E8_N36,938,0,219931,14,0.23099,0.08704,0.14097,0.14395,1.6386
mosaic,E8_N36,938,469,219951,5,0.0224,0.00831,0.01213,0.01409,1.8467
mosaic,E8_N36,938,938,219948,7,0.6545,0.26352,0.37015,0.39098,1.7682
mosaic,E8_N40,0,0,219946,8,0.10608,0.1091,0.14898,-0.00302,0.712
mosaic,E8_N40,0,469,219949,8,0.1481,0.07779,0.12631,0.07031,1.1725
mosaic,E8_N40,0,938,219940,12,0.08566,0.04746,0.07365,0.0382,1.1631
mosaic,E8_N40,469,0,219931,14,0.34678,0.22213,0.29875,0.12465,1.1608
mosaic,E8_N40,469,469,219944,10,0.34148,0.13231,0.16504,0.20917,2.0691
mosaic,E8_N40,469,938,219944,12,0.07792,0.02504,0.04726,0.05288,1.6488
mosaic,E8_N40,938,0,219939,8,0.05368,0.04492,0.07971,0.00876,0.6734
mosaic,E8_N40,938,469,219938,6,0.12841,0.05101,0.07921,0.07741,1.6211
mosaic,E8_N40,938,938,219952,11,0.09037,0.0378,0.05376,0.05257,1.6811
mosaic,E8_N44,0,0,219944,9,0.15903,0.06486,0.0929,0.09417,1.712
mosaic,E8_N44,0,469,219946,7,0.23413,0.03959,0.06972,0.19454,3.358
mosaic,E8_N44,0,938,219942,12,0.50922,0.13072,0.18229,0.3785,2.7934
mosaic,E8_N44,469,0,219947,5,0.04954,0.02359,0.04307,0.02595,1.1503
mosaic,E8_N44,469,469,219944,7,0.16384,0.04698,0.08998,0.11686,1.8209
mosaic,E8_N44,469,938,219951,6,0.11529,0.02728,0.04557,0.08802,2.5298
mosaic,E8_N44,938,0,219953,6,0.02732,0.01641,0.02678,0.01091,1.0202
mosaic,E8_N44,938,469,219949,6,0.0658,0.02971,0.05463,0.03609,1.2045
mosaic,E8_N44,938,938,219951,6,0.19075,0.05204,0.07907,0.13871,2.4123
mosaic,E12_N44,0,0,219947,8,0.41074,0.17613,0.21512,0.23461,1.9093
mosaic,E12_N44,0,469,219952,13,0.25287,0.11686,0.17857,0.13601,1.4161
mosaic,E12_N44,0,938,219943,11,0.27417,0.0911,0.12063,0.18306,2.2729
mosaic,E12_N44,469,0,219908,11,0.15038,0.05121,0.0729,0.09916,2.0629
mosaic,E12_N44,469,469,219955,14,0.6697,0.23864,0.35069,0.43106,1.9096
mosaic,E12_N44,469,938,219955,9,0.05951,0.01169,0.02127,0.04782,2.7976
mosaic,E12_N44,938,0,219934,11,0.08374,0.02534,0.0487,0.0584,1.7195
mosaic,E12_N44,938,469,219948,23,0.21766,0.09049,0.16784,0.12717,1.2968
mosaic,E12_N44,938,938,219941,14,0.17268,0.04558,0.07186,0.12709,2.4031
mosaic,E16_N44,0,0,219949,7,0.37677,0.16104,0.21405,0.21574,1.7602
mosaic,E16_N44,0,469,219950,7,0.17185,0.05881,0.09411,0.11304,1.826
mosaic,E16_N44,0,938,219952,8,0.02508,0.02083,0.0485,0.00426,0.5172
mosaic,E16_N44,469,0,219953,5,0.14057,0.03199,0.06339,0.10858,2.2174
mosaic,E16_N44,469,469,219951,8,0.30823,0.13475,0.19617,0.17348,1.5712
mosaic,E16_N44,469,938,219946,9,0.12355,0.03996,0.07403,0.08359,1.669
mosaic,E16_N44,938,0,219947,8,0.04239,0.01584,0.0298,0.02654,1.4221
mosaic,E16_N44,938,469,219747,12,0.21562,0.07548,0.11736,0.14014,1.8373
mosaic,E16_N44,938,938,219946,8,0.10265,0.02823,0.04272,0.07442,2.4028
