tile,variant,n_finite,coverage,prob_mean,rich_share_at_0p5,abundance_mean,abundance_saturated_frac,overlap_dp_median,partition_coverage,mean_n_frames,max_n_frames
E-12_N32,h1only,2186270,0.9994646712757053,0.18675637245178223,0.0780040891564171,0.002492211544354936,0.0,0.21436196565628052,0.9859895649756953,3.687411069869995,12
E-12_N32,full,2186270,0.9994646712757053,3.8641999708488584e-05,0.0,0.0,0.0,2.8270680559217e-05,0.9859895649756953,3.687411069869995,12
E-12_N32,resid,2186270,0.9994646712757053,0.14508311450481415,0.05747826206278273,0.0017995468339262067,0.0,0.14386335015296936,0.9859895649756953,3.687411069869995,12
E-12_N32,pfree,2186270,0.9994646712757053,0.044620633125305176,0.0050341449134827815,0.00025988313908642584,0.0,0.04096658527851105,0.9859895649756953,3.687411069869995,12
E-12_N36,h1only,2187441,1.0,0.45533135533332825,0.3931621470019077,0.010584796653307634,0.0,0.4523509740829468,0.9991158618678172,4.686163902282715,21
E-12_N36,full,2187441,1.0,0.0006738313240930438,0.0,9.82418061309162e-08,0.0,0.0006192078581079841,0.9991158618678172,4.686163902282715,21
E-12_N36,resid,2187441,1.0,0.4068114757537842,0.32986123968600756,0.008824627574041382,0.0,0.4188656508922577,0.9991158618678172,4.686163902282715,21
E-12_N36,pfree,2187441,1.0,0.2725435793399811,0.16943268412725188,0.004538965881801303,0.0,0.33847811818122864,0.9991158618678172,4.686163902282715,21
E-12_N40,h1only,2187433,0.9999963427585018,0.6795523762702942,0.7217889645077129,0.024842794417288094,0.0,0.4603691101074219,0.9983766419299995,5.63718843460083,20
E-12_N40,full,2187433,0.9999963427585018,0.006546638906002045,0.00012388950884438519,1.301035039261527e-05,0.0,0.004796622321009636,0.9983766419299995,5.63718843460083,20
E-12_N40,resid,2187433,0.9999963427585018,0.6035065054893494,0.6471315921447651,0.019061868186628642,0.0,0.4294770061969757,0.9983766419299995,5.63718843460083,20
E-12_N40,pfree,2187433,0.9999963427585018,0.5648564100265503,0.5964799836154981,0.017259677985419605,0.0,0.4200171232223511,0.9983766419299995,5.63718843460083,20
E-12_N44,h1only,2134617,0.9758512343875789,0.6450918316841125,0.6745612913229867,0.023816497713090704,0.0,0.3576729893684387,0.9382584490278824,2.4327192306518555,16
E-12_N44,full,2134617,0.9758512343875789,0.018344556912779808,0.0012756386742914538,8.75822578935575e-05,0.0,0.004715034272521734,0.9382584490278824,2.4327192306518555,16
E-12_N44,resid,2134617,0.9758512343875789,0.5577940940856934,0.5729013682548204,0.018270950475052058,0.0,0.2223653495311737,0.9382584490278824,2.4327192306518555,16
E-12_N44,pfree,2134617,0.9758512343875789,0.5140523910522461,0.5240125043508976,0.01703313573129951,0.0,0.18796765804290771,0.9382584490278824,2.4327192306518555,16
E-8_N32,h1only,2186270,0.9994646712757053,0.11890384554862976,0.02881528813915939,0.0011489861448289443,0.0,0.10499066114425659,0.9970742068014634,2.517486810684204,10
E-8_N32,full,2186270,0.9994646712757053,0.0007646223530173302,0.0,5.0380247020192565e-08,0.0,0.0002910431649070233,0.9970742068014634,2.517486810684204,10
E-8_N32,resid,2186270,0.9994646712757053,0.1431586593389511,0.03991867427170478,0.0014920233229072603,0.0,0.10367888957262039,0.9970742068014634,2.517486810684204,10
E-8_N32,pfree,2186270,0.9994646712757053,0.19476743042469025,0.07952768871182425,0.00255327356961162,0.0,0.1306753158569336,0.9970742068014634,2.517486810684204,10
E-8_N36,h1only,2186416,0.9995314159330468,0.3985011875629425,0.3406295965635085,0.008924484753201428,0.0,0.27669650316238403,0.9672224302278324,2.7405996322631836,10
E-8_N36,full,2186416,0.9995314159330468,0.017069494351744652,0.0003210733913399829,5.268831918145197e-05,0.0,0.008706171065568924,0.9672224302278324,2.7405996322631836,10
E-8_N36,resid,2186416,0.9995314159330468,0.4881942570209503,0.46025779174685877,0.012071388306368981,0.0,0.2804560661315918,0.9672224302278324,2.7405996322631836,10
E-8_N36,pfree,2186416,0.9995314159330468,0.6276403069496155,0.6848664663998069,0.01924059050608512,0.0,0.2624659240245819,0.9672224302278324,2.7405996322631836,10
E-8_N40,h1only,2152448,0.9840027685318141,0.47976747155189514,0.4527073360192674,0.016036013657496927,0.0,0.2524368166923523,0.9166633522915589,2.119581937789917,7
E-8_N40,full,2152448,0.9840027685318141,0.08254148811101913,0.03241007448263559,0.0009882484490542085,0.0,0.02607932686805725,0.9166633522915589,2.119581937789917,7
E-8_N40,resid,2152448,0.9840027685318141,0.5688129663467407,0.5507515164129401,0.020355451027801067,0.0,0.20020157098770142,0.9166633522915589,2.119581937789917,7
E-8_N40,pfree,2152448,0.9840027685318141,0.7152317762374878,0.7628839349429115,0.029753980475628335,0.0,0.18251143395900726,0.9166633522915589,2.119581937789917,7
E-8_N44,h1only,2187441,1.0,0.6683276295661926,0.7120754342631412,0.025046197168482567,0.0,0.30123353004455566,0.9992068357500842,2.0369231700897217,11
E-8_N44,full,2187441,1.0,0.25821956992149353,0.21558250028229334,0.005109195801329303,0.0,0.13915227353572845,0.9992068357500842,2.0369231700897217,11
E-8_N44,resid,2187441,1.0,0.7464385628700256,0.8032061207593714,0.030868348037054856,0.0,0.1426016092300415,0.9992068357500842,2.0369231700897217,11
E-8_N44,pfree,2187441,1.0,0.8679422736167908,0.934313656916918,0.04728723888646795,2.2857759363566836e-06,0.05967891216278076,0.9992068357500842,2.0369231700897217,11
E-4_N32,h1only,2187441,1.0,0.10525832325220108,0.006547376592100084,0.000735751313423806,0.0,0.1097169741988182,0.9950709527708405,2.6998703479766846,8
E-4_N32,full,2187441,1.0,0.01852080039680004,0.0001979481960884888,6.426801919702228e-05,0.0,0.007381724193692207,0.9950709527708405,2.6998703479766846,8
E-4_N32,resid,2187441,1.0,0.1841103434562683,0.06199344348030415,0.0020628456208930924,0.0,0.14725938439369202,0.9950709527708405,2.6998703479766846,8
E-4_N32,pfree,2187441,1.0,0.36508065462112427,0.25802707364450056,0.006470318069871311,0.0,0.24200749397277832,0.9950709527708405,2.6998703479766846,8
E-4_N36,h1only,2158922,0.9869623912142087,0.33372893929481506,0.22654408079587868,0.006777738724765708,0.0,0.23428283631801605,0.9343026851924234,2.7426114082336426,11
E-4_N36,full,2158922,0.9869623912142087,0.1347472369670868,0.060379670965417,0.0018268465758649935,0.0,0.09622375667095184,0.9343026851924234,2.7426114082336426,11
E-4_N36,resid,2158922,0.9869623912142087,0.47985023260116577,0.4325223421689158,0.011482319948046571,0.0,0.2902577817440033,0.9343026851924234,2.7426114082336426,11
E-4_N36,pfree,2158922,0.9869623912142087,0.7358314394950867,0.8640849460980989,0.025365550387028278,4.631941311450807e-07,0.21804779767990112,0.9343026851924234,2.7426114082336426,11
E-4_N40,h1only,2167806,0.9910237578979273,0.36918261647224426,0.27982762295150027,0.008199302850873343,0.0,0.22164860367774963,0.9314765518247121,2.538564682006836,10
E-4_N40,full,2167806,0.9910237578979273,0.251151442527771,0.16709751702873782,0.004746795167501444,0.0,0.13299560546875,0.9314765518247121,2.538564682006836,10
E-4_N40,resid,2167806,0.9910237578979273,0.49756067991256714,0.48601120210941384,0.01262590095091527,0.0,0.25642597675323486,0.9314765518247121,2.538564682006836,10
E-4_N40,pfree,2167806,0.9910237578979273,0.7907000184059143,0.9073584075327774,0.031208530514887207,1.8451835634738532e-06,0.1671709418296814,0.9314765518247121,2.538564682006836,10
