tile,n_frames,eta2,eta2_null,eta2_null95,n_bnd_pairs,boundary_rho
E-12_N36,63,0.01806132093872452,0.001617399700247938,0.002746736647982142,146,-0.06302912284422509
E-8_N32,50,0.01562893697393731,0.0019267773011448837,0.004611898431872451,113,-0.2166478142258301
E0_N40,43,0.004704316909418103,0.0012725381546247587,0.0022953284333661074,85,0.3143638850889193
E12_N44,50,0.0161549789513701,0.002432138940753939,0.004205014784568379,109,0.3210267815772403
E16_N44,36,0.01148250928994036,0.001546171302055052,0.002650383024446216,70,0.03654973318169889
E4_N40,46,0.008963714006819458,0.0019006354453250623,0.0037445570121490642,97,-0.1560067325899432
E4_N44,41,0.014602576411048973,0.0006440723256966235,0.0010589094766302375,93,0.14149085374951506
E8_N40,45,0.009495731456858267,0.002734441892077415,0.005955276560856745,110,0.10706669972725018
E8_N44,28,0.00858548582881435,0.0005492987903396651,0.0013177916180440697,60,0.501861628230064
