row,n_obs,pooled_pr_auc,precision@5%,n,delta_pr_auc_vs_h1,delta_prec5_vs_h1,passes
F_h1only,21,0.7438213460906592,0.9468252187570114,89145,,,False
F_full,21,0.6546836870340644,0.8438411487547678,89145,-0.08913765905659476,-0.10298407000224363,False
F_resid,21,0.71431092252249,0.9032981826340588,89145,-0.02951042356816924,-0.04352703612295261,False
F_pfree,21,0.5582524385242167,0.7518510208660534,89145,-0.1855689075664425,-0.19497419789095805,False
